GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	Rv0494_ATC_RIF	Rv0494_ATC_noDrug
Rv1073	Rv1073	hypothetical protein	PBS_RIF_DDmtb:16%; nutrient_limitation:10%	0.5083	1.12554126239811e-09	2.97	5	7	3	1	1	498.87	339.58
fxsA	Rv2053c	transmembrane protein FxsA	hypoxia_fatty_acids:18%	0.522	2.15433278276744e-06	5.45	3	11	10	3	3	396.01	266.92
Rv2694c	Rv2694c	hypothetical protein	hypoxia_fatty_acids:27%; ctl_stationary:18%	0.5061	2.09578504192248e-06	4.62	7	6	2	4	5	263.18	178.77
iniA	Rv0342	isoniazid inductible protein IniA	hypoxia_rar:22%	0.5716	7.27248437866885e-05	5.7	1	4	8	2	22	356.61	232.33
iniC	Rv0343	iIsoniazid inductible protein IniC	hypoxia_rar:11%	0.484	2.5686846536106e-07	7.13	10	15	6	6	2	235.45	162.85
MT2113	MT2113	hypothetical protein	hypoxia_fatty_acids:17%	0.5109	2.2208252126637e-06	7.72	6	13	13	5	4	377.58	256.43
lpqJ	Rv0344c	lipoprotein LpqJ	hypoxia_late:18%	0.6595	0.000394954416383686	8.44	2	5	16	9	15	61.72	37.05
Rv3289c	Rv3289c	transmembrane protein	microaerophilic:33%; ctl_stationary:18%; hypoxia_fatty_acids:16%	0.57	0.000412380091294907	7.14	4	3	4	8	23	75.77	48.72
mobA	Rv2453c	molybdenum cofactor guanylyltransferase	low_iron:12%	0.5032	7.59297080634314e-06	9.22	8	14	11	7	7	204.16	139.02
ldtA	Rv0116c	L,D-transpeptidase LdtA	acidic:14%	0.4548	2.59553393988417e-05	10.66	12	16	5	10	12	135.72	95.56
Rv2052c	Rv2052c	hypothetical protein	microaerophilic:18%; hypoxia_fatty_acids:12%	0.4063	2.71496386313516e-06	14.18	14	20	20	11	8	288.95	210.94
MT0717.1	MT0717.1	hypothetical protein	ctl_stationary:21%	0.5394	0.00121798964254866	12.75	9	8	12	12	26	100.33	65.87
ppsD	Rv2934	phthiocerol synthesis polyketide synthase type I PpsD	zinc_limitation:13%; hypoxia_rar:10%; microaerophilic:10%	0.3914	3.07668734112192e-06	15.45	15	23	23	14	6	336.76	248.79
