GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	Rv0494_ATC_RIF	Rv0494_DMSO_RIF
Rv0494	Rv0494	HTH-type transcriptional regulator	hypoxia_late:25%; ctl_stationary:12%	2.8639	6.25842015764231e-124	1	1	1	1	1	1	2708.67	338.37
MT2554.1	MT2554.1	hypothetical protein	hypoxia_late:13%	0.8263	8.43658361840068e-06	2	2	2	2	2	2	97.29	49.02
Rv2513	Rv2513	hypothetical protein	nutrient_limitation:9%	0.2973	0.00453828371984253	26.74	39	52	37	3	21	190.73	154.75
Rv2813	Rv2813	hypothetical protein	hypoxia_late:70%	0.5106	0.0227410176484981	38.95	6	13	35	236	15	11.48	6.88
plcA	Rv2351c	membrane-associated phospholipase A	ctl_stationary:14%; hypoxia_late:13%; human_sputum:11%	0.3039	0.00649510804833757	30.77	37	56	61	4	19	49.55	39.84
Rv0603	Rv0603	hypothetical protein	hypoxia_late:70%	0.6068	0.0648641417214685	34.25	10	4	23	125	66	12.43	6.66
PPE59	Rv3429	PPE family protein PPE59	human_sputum:10%	0.2725	0.000233162607689974	27.63	48	57	31	5	16	608.99	503.21
Rv3424c	Rv3424c	hypothetical protein	human_sputum:18%; nutrient_limitation:12%	0.2967	0.00743126758831167	27.99	43	46	21	6	37	113.34	91.87
espD	Rv3614c	ESX-1 secretion-associated protein EspD	acidic_tyloxopol:23%; acidic:22%	0.27	0.00151679747058898	36.75	50	63	67	7	20	1023.55	847.11
Rv0804	Rv0804	hypothetical protein	hypoxia_late:20%	0.2698	0.00298403001104057	34.29	52	61	44	8	23	227.2	187.93
bfrA	Rv1876	bacterioferritin BfrA	hypoxia_hypoxic:10%	0.2973	0.026875353698332	45.64	42	58	77	17	46	89.43	72.15
whiB3	Rv3416	redox-responsive transcriptional regulator WhiB3	nutrient_limitation:14%; hypoxia_rar:13%; hypoxia_hypoxic:11%	0.2759	0.0162088642806741	42.64	54	62	56	12	42	173.48	142.71
bpoB	Rv1123c	peroxidase BpoB	hypoxia_late:9%	0.252	0.00187602076187248	38.36	64	67	46	9	25	185.59	155.36
espA	Rv3616c	ESX-1 secretion-associated protein EspA	acidic:20%; acidic_tyloxopol:13%; zinc_limitation:11%; butyrate:10%	0.2516	0.000194654663773904	38.53	63	68	49	10	22	831.3	697.13
Rv0250c	Rv0250c	hypothetical protein	hypoxia_fatty_acids:19%; ctl_exponential:11%	0.2982	0.0228575039575263	53.19	57	88	103	16	29	289.93	234.47
sadH	Rv3085	oxidoreductase SadH	hypoxia_late:18%; nutrient_limitation:16%	0.2619	0.0132527915777628	49.53	61	85	76	15	31	111.6	92.73
Rv3613c	Rv3613c	hypothetical protein	acidic:22%; acidic_tyloxopol:22%	0.257	0.00984547234213626	50.23	60	83	93	14	27	916.15	764.69
Rv2520c	Rv2520c	membrane protein	hypoxia_late:10%	0.3047	0.070852648898665	50.76	49	43	42	29	104	81.94	65.57
fadD13	Rv3089	long chain-fatty-acid--CoA ligase FadD13	hypoxia_late:11%; nutrient_limitation:10%	0.2489	0.00933646698374674	45.23	69	74	53	13	34	59.11	49.44
trxA	Rv1470	thioredoxin TrxA	hypoxia_late:12%; human_sputum:11%	0.2923	0.07051951663963	53.41	55	50	34	34	108	49.5	39.94
MT1760	MT1760	hypothetical protein	hypoxia_late:13%	0.2837	0.0411423712472381	55.42	53	79	84	20	55	325.84	267.13
cas2	Rv2816c	CRISPR-associated endoribonuclease Cas2	tyloxopol:24%; ctl_exponential:15%	0.3269	0.0669310437179826	64.41	33	80	131	11	114	419.79	333.57
Rv1754c	Rv1754c	hypothetical protein	hypoxia_late:15%; tyloxopol:14%; ctl_stationary:11%	0.2533	0.0142420988629561	53.19	62	81	89	18	35	56.18	46.81
Rv2633c	Rv2633c	hypothetical protein	acidic_tyloxopol:21%; butyrate:12%; acidic:11%	0.3067	0.0701799737953801	61.72	44	76	116	30	59	66.88	53.53
cyp121	Rv2276	cytochrome P450 Cyp121	human_sputum:16%; tyloxopol:12%; high_iron:11%	0.2541	0.0233856710292871	53.42	66	70	62	24	53	42.65	35.41
Rv1954c	Rv1954c	hypothetical protein	microaerophilic:28%; hypoxia_fatty_acids:26%; ctl_stationary:14%	0.2289	0.00581733490380047	52.49	86	90	43	21	40	253.83	216.09
Rv3651	Rv3651	hypothetical protein	butyrate:10%	0.2435	0.0125452665131888	55.39	72	87	73	22	38	101.51	85.26
papA1	Rv3824c	acyltransferase PapA	acidic:17%; nutrient_limitation:14%; butyrate_plus_glucose:11%; PBS_RIF_DDmtb:11%	0.229	0.00430093382940366	54.02	82	92	64	19	33	143.64	122.21
MT2589.1	MT2589.1	hypothetical protein	nutrient_limitation:12%	0.2561	0.0445446481172545	58.89	70	78	57	27	71	164.21	136.97
lipR	Rv3084	acetyl-hydrolase LipR	hypoxia_late:22%; nutrient_limitation:12%	0.2381	0.0120108288523515	57.32	79	91	71	25	36	122.41	103.42
purL	Rv0803	phosphoribosylformylglycinamidine synthase 2	zinc_limitation:10%	0.2279	0.00348556901336486	58.71	83	104	68	26	32	213.67	181.96
fadD11	Rv1550	fatty-acid--CoA ligase FadD11	hypoxia_late:23%	0.2457	0.0380914267525639	69.85	73	102	110	32	49	41.41	34.66
Rv3636	Rv3636	transposase	acidic:19%; hypoxia_late:14%; ctl_stationary:11%	0.2682	0.122615686486225	71.97	78	72	58	37	130	55.63	45.94
PPE38	Rv2352c	PPE family protein PPE38	hypoxia_late:30%	0.2251	0.0105701228673651	63.43	97	107	66	23	45	101.31	86.44
parD1	Rv1960c	antitoxin ParD1	hypoxia_fatty_acids:34%	0.2573	0.0945964033435293	72.41	71	77	86	40	95	120.5	100.27
Rv0572c	Rv0572c	hypothetical protein	ctl_stationary:17%; hypoxia_hypoxic:13%; hypoxia_late:11%	0.3081	0.187544567534695	82.84	58	73	98	62	134	42.23	33.5
MT0069	MT0069	hypothetical protein	microaerophilic:17%; cholesterol:12%	0.2904	0.13529082705888	85.86	68	99	163	49	70	246.63	200.88
Rv2716	Rv2716	hypothetical protein	human_sputum:9%	0.2237	0.0122997954180736	65.46	96	106	63	31	47	171.88	146.76
Rv0810c	Rv0810c	hypothetical protein	cholesterol:9%	0.2179	0.0053809445418497	66.38	102	100	80	28	41	1218.45	1045.32
kdpE	Rv1027c	transcriptional regulator KdpE	hypoxia_late:15%; ctl_stationary:13%	0.2702	0.180571274457325	80.19	77	65	51	59	172	22.05	17.94
Rv2884	Rv2884	transcriptional regulator	hypoxia_late:14%; PBS_RIF_DDmtb:13%	0.2276	0.0330070327757623	71.91	93	103	88	33	56	102.71	87.39
PE_PGRS46	Rv2634c	PE-PGRS family protein PE_PGRS46	hypoxia_late:43%	0.2412	0.0839205047973061	80.36	92	111	125	38	54	29.68	24.86
nrdB	Rv0233	ribonucleoside-diphosphate reductase subunit beta NrdB	microaerophilic:23%; hypoxia_fatty_acids:18%	0.2153	0.0078250273389704	77.02	105	117	107	35	43	340.23	292.38
cysK2	Rv0848	cysteine synthase CysK	microaerophilic:57%	0.2272	0.0398573527845437	80.38	87	121	122	39	52	93.01	79.14
panD	Rv3601c	aspartate 1-decarboxylase	zinc_limitation:11%	0.2286	0.0583835143375075	82.22	91	123	114	42	57	204.14	173.7
Rv1531	Rv1531	hypothetical protein	human_sputum:10%	0.2401	0.103227362751653	85.31	81	113	120	45	79	87.65	73.69
Rv3612c	Rv3612c	hypothetical protein	acidic_tyloxopol:21%; butyrate_plus_glucose:11%	0.2171	0.0253594782434712	77.76	106	115	100	36	50	345.97	296.97
Rv3312A	Rv3312A	pilin	butyrate:14%; acidic_tyloxopol:14%; butyrate_plus_glucose:12%	0.2357	0.0926510817793074	85.71	85	124	117	44	72	195.25	165
Rv0089	Rv0089	methyltransferase	hypoxia_late:8%	0.222	0.0758414025812151	77.29	107	101	52	41	99	73.71	62.93
serT	Rvnt44	tRNA-Ser	zinc_limitation:34%; hypoxia_late:10%; hypoxia_hypoxic:10%	0.5148	0.042476760833271	166.89	3	3	12	3007	8	180.7	113.94
MT2045	MT2045	hypothetical protein	human_sputum:12%; PBS_RIF_DDmtb:11%	0.2893	0.303296455250148	97.2	80	64	72	81	221	42.7	34.44
Rv0090	Rv0090	membrane protein	hypoxia_late:40%; ctl_stationary:12%	0.2792	0.273586208257423	102.64	76	86	95	77	200	15.49	12.45
cyp128	Rv2268c	cytochrome P450 Cyp128	hypoxia_late:28%; ctl_stationary:10%	0.2367	0.167043811143118	96.43	88	112	106	58	126	18.53	15.44
Rv1419	Rv1419	hypothetical protein	ctl_stationary:13%; human_sputum:10%	0.2233	0.075764245248007	94.29	98	145	135	48	65	227.06	193.54
Rv2478c	Rv2478c	hypothetical protein	hypoxia_late:28%; hypoxia_rar:12%	0.2451	0.214375310569536	102.81	99	120	108	50	152	44.35	37.22
higB	Rv1955	toxin HigB	hypoxia_fatty_acids:32%	0.2455	0.232726271894051	104.61	90	114	109	68	151	62.9	52.64
Rv0846c	Rv0846c	oxidase	microaerophilic:19%; hypoxia_late:15%; hypoxia_fatty_acids:10%	0.2142	0.103447921987882	89.44	110	118	101	43	87	33.45	28.59
lpqS	Rv0847	lipoprotein LpqS	microaerophilic:28%; hypoxia_fatty_acids:26%	0.202	0.0350162492744201	86.12	119	125	92	46	63	307	265.97
MT3297	MT3297	hypothetical protein	hypoxia_late:12%; ctl_stationary:11%; PBS_RIF_DDmtb:11%	0.2414	0.240375222744895	104.34	89	105	115	73	147	117.05	98.38
MT0116.1	MT0116.1	hypothetical protein	acidic_tyloxopol:23%; butyrate_plus_glucose:14%; butyrate:12%; low_iron:12%; tyloxopol:11%	0.2199	0.176402588779179	99.86	108	109	94	66	128	311.24	265.86
Rv0802c	Rv0802c	succinyl-CoA transferase	ctl_stationary:11%	0.231	0.257330933697114	109.25	113	132	143	63	105	66.53	56.24
Rv3767c	Rv3767c	S-adenosylmethionine-dependent methyltransferase	nutrient_limitation:14%; butyrate_plus_glucose:11%	0.1929	0.019088104070212	89.75	135	139	90	47	58	195.88	170.99
MT3876.1	MT3876.1	hypothetical protein	tyloxopol:8%	0.2449	0.294594238796979	115.3	104	116	118	70	182	150.85	127.01
Rv1892	Rv1892	membrane protein	acidic_tyloxopol:14%; butyrate:10%	0.201	0.107622945490938	94.57	124	128	91	55	85	219.05	190.08
lpqN	Rv0583c	lipoprotein LpqN	ctl_exponential:12%; acidic:12%	0.2153	0.17804234851533	109.61	120	154	158	61	74	144.31	123.68
ephC	Rv1124	epoxide hydrolase EphC	hypoxia_late:20%	0.4453	0.0287224602279676	213.12	4	7	7	4092	3	98.52	65.67
Rv3749c	Rv3749c	hypothetical protein	acidic_tyloxopol:14%	0.2018	0.123773489746899	99.44	126	134	96	52	101	117.17	101.63
Rv0842	Rv0842	integral membrane protein	acidic_tyloxopol:16%; nutrient_limitation:11%	0.2095	0.153798543566417	110.13	118	157	161	53	83	49.82	42.84
