GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	Rv0494_ATC_noDrug	Rv0494_DMSO_noDrug
Rv0494	Rv0494	HTH-type transcriptional regulator	hypoxia_late:25%; ctl_stationary:12%	2.7762	7.32927317099705e-124	1	1	1	1	1	1	2452.2	337.92
MT2554.1	MT2554.1	hypothetical protein	hypoxia_late:13%	0.7296	3.53427772392984e-05	2.38	2	2	3	2	3	93.36	52.28
ephC	Rv1124	epoxide hydrolase EphC	hypoxia_late:20%	0.5183	3.04541365898506e-07	4.66	4	7	2	11	2	94	61.74
Rv2481c	Rv2481c	hypothetical protein	hypoxia_late:12%; acidic_tyloxopol:10%	0.7312	0.00100526588315537	6.89	3	3	8	3	26	36.34	19.74
MT2554.2	MT2554.2	hypothetical protein	hypoxia_late:12%; acidic_tyloxopol:10%	0.691	0.00267042047068071	10.24	7	6	10	4	33	32.39	18.08
rplL	Rv0652	50S ribosomal protein L7/L12	tyloxopol:12%; high_iron:11%	0.5077	0.00223285642189259	18.36	6	8	15	31	45	460.51	306.48
mcr16	Rvnc0013	putative small regulatory RNA	low_iron:16%; hypoxia_fatty_acids:14%	0.4566	0.000777293255900446	23.68	8	11	16	129	8	670.29	461.91
fabD	Rv2243	malonyl CoA-acyl carrier protein transacylase	low_iron:10%	0.5083	0.00292166423875736	20.34	5	9	18	32	55	768.57	511.74
PE_PGRS50	Rv3345c	PE-PGRS family protein PE_PGRS50	hypoxia_late:56%	0.3959	0.00126059313580136	33.7	12	19	25	166	11	16.92	11.88
Rv2813	Rv2813	hypothetical protein	hypoxia_late:70%	0.4689	0.0137506358222015	24.46	16	10	4	23	116	9.39	5.94
Rv1125	Rv1125	hypothetical protein	hypoxia_late:20%	0.3734	0.000118440361565861	39.78	13	13	7	378	5	72.4	52.64
Rv2271	Rv2271	hypothetical protein	human_sputum:17%; ctl_exponential:16%; hypoxia_rar:10%	0.4086	0.00720795085796526	55.06	9	15	41	347	27	166.88	118.74
espC	Rv3615c	ESX-1 secretion-associated protein EspC	acidic_tyloxopol:23%; butyrate:14%; acidic:11%	0.3555	0.000112462265890677	53.2	15	14	11	554	4	1143.94	847.42
acpM	Rv2244	meromycolate extension acyl carrier protein	hypoxia_hypoxic:12%	0.3912	0.0106316880621173	64.77	10	16	27	408	59	6533.84	4719.22
csm2	Rv2822c	CRISPR type III-associated protein Csm2	hypoxia_late:17%; human_sputum:16%	0.3891	0.0129236112738554	65.05	14	20	32	396	43	78.31	56.26
sadH	Rv3085	oxidoreductase SadH	hypoxia_late:18%; nutrient_limitation:16%	0.3404	0.00204619823528946	69.08	18	17	14	691	10	113.17	84.46
PE_PGRS49	Rv3344c	PE-PGRS family protein PE_PGRS49	hypoxia_late:54%	0.4201	0.033339925589784	73.67	11	25	72	169	172	26.44	18.39
cyp121	Rv2276	cytochrome P450 Cyp121	human_sputum:16%; tyloxopol:12%; high_iron:11%	0.3361	0.0112282768391133	99.08	19	30	42	793	28	49.01	36.48
Rv2520c	Rv2520c	membrane protein	hypoxia_late:10%	0.362	0.0505124808829145	114.57	23	28	54	665	106	75.13	54.94
higA	Rv1956	antitoxin HigA	hypoxia_fatty_acids:28%	0.3217	0.0548169238446561	131.65	26	26	31	1063	81	57.82	43.51
MT2637.1	MT2637.1	hypothetical protein	hypoxia_late:24%; tyloxopol:18%	0.3622	0.113090635558201	149.69	27	41	89	816	134	42.45	30.76
gatC	Rv3012c	glutamyl-tRNA(GLN) amidotransferase subunit C	hypoxia_rar:14%; hypoxia_late:12%; hypoxia_hypoxic:11%	0.3446	0.127589295761875	150.26	37	38	68	777	167	38.04	27.9
kasA	Rv2245	3-oxoacyl-ACP synthase 1	hypoxia_hypoxic:12%; high_iron:10%	0.3302	0.0222989953403984	202.89	17	23	30	2897	9	4498.06	3390.26
serT	Rvnt44	tRNA-Ser	zinc_limitation:34%; hypoxia_late:10%; hypoxia_hypoxic:10%	0.3731	0.146888444209191	166.67	28	48	98	911	150	137.85	99.96
kasB	Rv2246	3-oxoacyl-ACP synthase 2	hypoxia_hypoxic:15%	0.3195	0.0145820148510917	208.6	20	22	17	3190	6	2470.81	1878.77
MT2417	MT2417	hypothetical protein	hypoxia_late:40%; ctl_stationary:15%	0.656	0.3682356104004	112.18	110	4	9	265	449	13.78	6.93
tsf	Rv2889c	elongation factor EF-Ts	zinc_limitation:8%	0.1993	0.0127463148451359	123.54	226	225	168	5	107	590.2	517.67
Rv2280	Rv2280	dehydrogenase	microaerophilic:10%	0.2011	0.0247478284101576	134.79	213	237	223	6	114	350.68	307.12
vapB14	Rv1952	antitoxin VapB14	human_sputum:12%; acidic_tyloxopol:10%	0.4045	0.237993273200107	183.71	95	114	156	476	170	42.59	29.81
PE7	Rv0916c	PE family protein PE7	microaerophilic:43%	0.3182	0.207022713211834	180	47	31	23	1256	208	36.3	27.15
Rv2654c	Rv2654c	antitoxin	hypoxia_late:79%	0.6302	0.406750930954751	136.28	114	18	64	202	451	5.69	2.56
fixA	Rv3029c	electron transfer flavoprotein subunit beta	hypoxia_hypoxic:11%; hypoxia_rar:11%; ctl_exponential:10%	0.1918	0.0143990607293497	136.13	236	251	192	7	113	1114.71	983.1
lipR	Rv3084	acetyl-hydrolase LipR	hypoxia_late:22%; nutrient_limitation:12%	0.3052	0.0598236896928682	232.04	24	29	21	3283	16	127.78	97.92
ilvC	Rv3001c	ketol-acid reductoisomerase	acidic:9%	0.1856	0.0136378375261331	133.71	249	250	150	10	117	509.63	451.28
mpr11	Rvnc0015	fragment of putative small regulatory RNA	hypoxia_late:18%; ctl_exponential:12%	0.4409	0.386867163890685	181.4	86	37	115	516	344	42.76	28.66
rpoB	Rv0667	DNA-directed RNA polymerase subunit beta	PBS_RIF_DDmtb:20%; nutrient_limitation:18%	0.189	0.0445287095461037	142.81	238	249	176	8	155	1698.32	1500.34
mymA	Rv3083	FAD-containing monooxygenase MymA	nutrient_limitation:15%	0.2885	0.0363297218706365	242.56	29	27	12	3743	7	203.61	157.96
esxG	Rv0287	ESAT-6 like protein EsxG	zinc_limitation:24%; cholesterol:13%; microaerophilic:12%	0.1886	0.05583667599879	159.59	248	298	244	9	133	2014.9	1780.92
lipQ	Rv2485c	carboxylesterase LipQ	hypoxia_late:16%; butyrate:12%	0.2972	0.105724932455587	241.97	25	24	13	3648	15	73.03	56.04
lpqE	Rv3584	lipoprotein LpqE	hypoxia_hypoxic:10%	0.1887	0.0795716719195941	171.54	242	280	313	12	145	517.37	457.04
Rv2513	Rv2513	hypothetical protein	nutrient_limitation:9%	0.186	0.108828801485848	160.39	259	243	158	14	235	201.87	178.51
pntB	Rv0157	NAD(P) transhydrogenase subunit beta PntB	tyloxopol:10%	0.1797	0.0191688594339371	150.28	268	264	187	16	121	356.8	317.2
rplT	Rv1643	50S ribosomal protein L20	hypoxia_hypoxic:9%	0.184	0.067433877543079	163.43	255	281	219	20	142	2419.04	2144.89
uspB	Rv2317	sugar ABC transporter permease UspB	hypoxia_late:37%; ctl_stationary:16%; PBS_RIF_DDmtb:11%	0.2983	0.33153547208948	208.29	81	58	74	814	339	6.5	4.71
frr	Rv2882c	ribosome recycling factor	hypoxia_rar:9%	0.1807	0.0397129849808764	155	272	270	189	15	137	460.84	409.46
Rv2690c	Rv2690c	integral membrane protein	PBS_RIF_DDmtb:20%; ctl_stationary:12%; hypoxia_late:10%	0.182	0.11224882789261	172.29	269	275	199	13	223	52.78	46.73
fadA	Rv0859	acyltransferase	cholesterol:13%	0.1796	0.0674871235914752	173.53	277	305	241	19	141	604.85	537.95
fbiA	Rv3261	2-phospho-L-lactate transferase	tyloxopol:10%	0.1827	0.118545950580156	177.48	257	271	234	17	216	122.69	108.67
Rv0621	Rv0621	membrane protein	hypoxia_late:26%	0.2956	0.171107029249497	252.86	32	40	37	2768	78	26.49	20.18
Rv3699	Rv3699	hypothetical protein	cholesterol:16%	0.2719	0.135561198904346	267.39	33	33	20	3868	13	246.98	193.76
Rv3613c	Rv3613c	hypothetical protein	acidic:22%; acidic_tyloxopol:22%	0.1918	0.180833115848038	209.78	240	292	360	36	221	940.65	828.46
sdhA	Rv3318	succinate dehydrogenase flavoprotein subunit	hypoxia_late:15%	0.1835	0.15651501856456	199.05	302	317	320	18	175	110.26	97.66
