GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	Rv0827c_ATC_RIF	Rv0827c_ATC_noDrug
galTb	Rv0619	galactose-1-phosphate uridylyltransferase galTb	hypoxia_late:33%; ctl_stationary:18%; PBS_RIF_DDmtb:14%	0.7572	0.0290589161312384	4.04	3	1	2	1	24	6.81	3.01
frdC	Rv1554	fumarate reductase membrane anchor subunit	hypoxia_late:25%; acidic:20%; acidic_tyloxopol:14%	0.7735	0.0356965821448369	6.53	1	5	7	2	30	10.83	5.05
MT3033	MT3033	hypothetical protein	hypoxia_late:23%	0.6456	0.0298744405240808	8.24	8	3	1	5	43	23.54	13.32
Rv0837c	Rv0837c	hypothetical protein	hypoxia_fatty_acids:28%; microaerophilic:14%; ctl_stationary:14%; hypoxia_late:11%	0.5345	0.0193887516064619	7.2	5	13	17	6	1	15.99	10.09
Rv1087A	Rv1087A	conserved hypothetical protein	hypoxia_late:19%; ctl_stationary:17%; human_sputum:14%	0.6583	0.0544273968563743	16.15	4	18	27	9	32	19.64	10.9
Rv1669	Rv1669	hypothetical protein	hypoxia_late:35%; ctl_stationary:13%; human_sputum:11%	0.7379	0.083664272688623	18.46	10	6	23	8	68	9.68	4.52
MT3846	MT3846	hypothetical protein	nutrient_limitation:59%; PBS_RIF_DDmtb:24%	0.6002	0.0541395416983823	14.14	7	7	6	11	60	54.93	33.41
MT0910.2	MT0910.2	hypothetical protein	PBS_RIF_DDmtb:30%; hypoxia_late:27%; ctl_stationary:12%	0.7536	0.0873737168801663	19.26	12	2	3	7	161	10.52	4.79
PPE39	Rv2353c	PPE family protein PPE39	human_sputum:45%; hypoxia_late:23%; ctl_stationary:10%	0.7168	0.0500311917479813	34.65	2	23	82	4	148	11.09	5.73
Rv3424c	Rv3424c	hypothetical protein	human_sputum:18%; nutrient_limitation:12%	0.45	0.019087209900471	9.79	9	14	14	10	4	58.52	40.6
AS1890	AS1890	putative small regulatory RNA	ctl_stationary:18%; PBS_RIF_DDmtb:17%; hypoxia_late:15%	0.5332	0.0794003028150009	20.01	13	10	5	15	90	27.03	17.01
Rv2807	Rv2807	hypothetical protein	hypoxia_late:37%; ctl_stationary:12%; human_sputum:11%	0.539	0.0584127536864494	30.11	11	50	83	12	20	7.13	4.18
PPE34	Rv1917c	PPE family protein PPE34	hypoxia_late:32%; ctl_stationary:13%; human_sputum:12%	0.6605	0.0372622658185196	53.95	6	69	128	3	167	13.52	7.62
MT1490	MT1490	hypothetical protein	hypoxia_late:38%; PBS_RIF_DDmtb:12%	0.7281	0.147347883346456	37.93	15	30	37	14	135	14.46	7.24
yrbE3A	Rv1964	integral membrane protein	hypoxia_late:20%; microaerophilic:13%; ctl_stationary:11%; PBS_RIF_DDmtb:11%	0.4349	0.0696741096949307	28.58	16	42	40	19	31	15.3	10.42
PE10	Rv1089	PE family protein	hypoxia_late:39%; ctl_stationary:14%; PBS_RIF_DDmtb:10%	0.5425	0.126476393472111	32.75	14	25	47	18	77	16.74	10.23
Rv2309A	Rv2309A	hypothetical protein	hypoxia_late:38%; ctl_stationary:13%	0.6464	0.165990928996512	41.46	20	31	33	16	154	12.79	6.81
Rv2039c	Rv2039c	sugar ABC transporter permease	hypoxia_late:20%; ctl_stationary:11%	0.3825	0.0534221920621803	33.71	19	62	74	27	9	31.33	22.68
PPE41	Rv2430c	PPE family protein PPE41	nutrient_limitation:14%	0.3279	0.00154848133100694	20.35	27	34	25	23	3	587.19	450.51
Rv1506c	Rv1506c	hypothetical protein	INDIGO_exponential:13%; hypoxia_late:12%	0.4221	0.0729534156301898	38.48	21	76	80	24	15	32.03	22.43
iniB	Rv0341	isoniazid inducible protein IniB	hypoxia_rar:23%; acidic:22%; hypoxia_hypoxic:12%; acidic_tyloxopol:11%	0.3411	0.0158039880645552	30.6	26	70	69	20	2	55.57	41.89
MT3919	MT3919	hypothetical protein	hypoxia_late:12%	0.4117	0.107744078460443	36.72	29	15	9	38	141	58.32	41.26
Rv0371c	Rv0371c	hypothetical protein	hypoxia_late:53%; ctl_stationary:12%	0.5409	0.160734993901892	50.66	22	48	97	21	91	9.59	5.64
ppsB	Rv2932	phthiocerol synthesis polyketide synthase type I PpsB	zinc_limitation:12%; human_sputum:12%; hypoxia_rar:12%	0.3103	0.000219304621130209	21.96	30	32	21	30	5	106.69	82.63
udgA	Rv0322	UDP-glucose 6-dehydrogenase UdgA	hypoxia_late:19%; ctl_stationary:15%	0.4162	0.0963800710476317	43.79	18	59	112	29	27	10.78	7.31
mce3C	Rv1968	Mce family protein Mce3C	hypoxia_late:28%; ctl_stationary:14%; PBS_RIF_DDmtb:11%	0.4277	0.100726110173341	50.56	23	88	113	25	33	9.83	6.59
