"PathName","N_Genes","DeltaFold","BestPvalue","Fold_Rv0827c_DMSO_noDrug","Pvalue_Rv0827c_DMSO_noDrug","Fold_Rv0827c_DMSO_RIF","Pvalue_Rv0827c_DMSO_RIF"
"unsaturated fatty acid biosynthetic process",2,0.20456,"4.84e-02",0.09956,"4.84e-02",-0.105,"3.07e-01"
"ether lipid metabolic process",3,0.20134,"1.14e-01",0.09529,"1.14e-01",-0.10604,"1.83e-01"
"regulation of DNA-templated transcription",3,0.19759,"9.55e-02",0.09826,"9.55e-02",-0.09933,"1.06e-01"
"RNA splicing",2,0.17688,"8.06e-02",0.09344,"2.64e-01",-0.08344,"8.06e-02"
"retina development in camera-type eye",2,0.15985,"1.59e-02",0.08042,"1.59e-02",-0.07943,"2.88e-01"
"response to hormone",4,0.15913,"2.10e-02",0.07993,"6.54e-01",-0.0792,"2.10e-02"
"intrinsic apoptotic signaling pathway by p53 class mediator",2,0.17174,"2.22e-01",0.08751,"2.22e-01",-0.08422,"8.24e-01"
"lipid catabolic process",4,0.16287,"1.23e-01",0.08269,"1.23e-01",-0.08018,"6.32e-01"
"fatty acid alpha-oxidation",4,0.14401,"1.22e-02",0.06821,"1.22e-02",-0.0758,"3.71e-02"
"positive regulation of cytoplasmic translation",2,0.16599,"1.82e-01",0.08962,"3.46e-01",-0.07637,"1.82e-01"
"cellular response to interleukin-4",3,0.13179,"3.10e-02",-0.06292,"2.51e-01",0.06887,"3.10e-02"
"positive regulation of angiogenesis",3,0.17121,"6.26e-01",0.11027,"6.26e-01",-0.06094,"1.00e+00"
"positive regulation of calcium-mediated signaling",2,0.15706,"4.62e-01",0.06226,"6.80e-01",-0.09479,"4.62e-01"
"epithelial cell differentiation",5,0.12181,"8.05e-02",0.06441,"8.05e-02",-0.0574,"4.27e-01"
"response to virus",2,0.19146,"8.67e-01",0.13447,"8.67e-01",-0.05698,"1.00e+00"
"protein repair",2,0.117,"6.00e-02",0.06966,"6.00e-02",-0.04734,"1.00e+00"
"NADPH oxidation",2,0.12852,"2.48e-01",-0.07488,"2.48e-01",0.05364,"4.57e-01"
"preassembly of GPI anchor in ER membrane",2,0.11462,"6.17e-02",0.04624,"1.00e+00",-0.06838,"6.17e-02"
