"PathName","N_Genes","DeltaFold","BestPvalue","Fold_Rv0827c_DMSO_noDrug","Pvalue_Rv0827c_DMSO_noDrug","Fold_Rv0827c_DMSO_RIF","Pvalue_Rv0827c_DMSO_RIF"
"axon cytoplasm",2,0.19749,"7.94e-01",0.13673,"7.94e-01",-0.06076,"1.00e+00"
"Z disc",3,0.17756,"5.90e-01",0.11384,"5.90e-01",-0.06372,"1.00e+00"
"blood microparticle",2,0.1369,"3.03e-01",0.06302,"7.84e-01",-0.07388,"3.03e-01"
"nuclear inner membrane",2,0.11421,"9.83e-02",0.0576,"9.83e-02",-0.05661,"2.33e-01"
"sarcolemma",2,0.12199,"3.44e-01",0.06809,"3.44e-01",-0.0539,"1.00e+00"
"cornified envelope",2,0.17709,"1.00e+00",0.12326,"1.00e+00",-0.05384,"1.00e+00"
"ribonucleoprotein complex",4,0.11402,"2.06e-01",0.06177,"4.67e-01",-0.05225,"2.06e-01"
"cortical actin cytoskeleton",2,0.10288,"2.89e-01",0.03053,"1.00e+00",-0.07236,"2.89e-01"
"mitochondrial alpha-ketoglutarate dehydrogenase complex",3,0.0971,"2.70e-01",-0.05005,"2.70e-01",0.04705,"3.94e-01"
"proteasome complex",3,0.10754,"1.00e+00",0.07534,"1.00e+00",-0.03219,"1.00e+00"
"cytoplasmic stress granule",2,0.09187,"1.00e+00",0.04836,"1.00e+00",-0.0435,"1.00e+00"
"recycling endosome membrane",3,0.09091,"1.00e+00",0.04243,"1.00e+00",-0.04848,"1.00e+00"
"basement membrane",3,0.08925,"1.00e+00",0.02983,"1.00e+00",-0.05942,"1.00e+00"
"extracellular matrix",2,0.08865,"1.00e+00",0.01989,"1.00e+00",-0.06876,"1.00e+00"
"cytoskeleton",8,0.08689,"1.00e+00",0.04666,"1.00e+00",-0.04023,"1.00e+00"
"endolysosome membrane",2,0.07807,"6.20e-01",0.01362,"1.00e+00",-0.06445,"6.20e-01"
"oxoglutarate dehydrogenase complex",4,0.08282,"1.00e+00",0.06527,"1.00e+00",-0.01755,"1.00e+00"
"vacuolar membrane",2,0.07814,"1.00e+00",0.03148,"1.00e+00",-0.04665,"1.00e+00"
"microtubule cytoskeleton",2,0.07787,"9.70e-01",0.04421,"1.00e+00",-0.03366,"9.70e-01"
"vesicle membrane",2,0.07695,"1.00e+00",0.02896,"1.00e+00",-0.04799,"1.00e+00"
"cytoplasmic vesicle membrane",3,0.07589,"1.00e+00",0.03146,"1.00e+00",-0.04443,"1.00e+00"
"sperm midpiece",2,0.07473,"1.00e+00",0.0139,"1.00e+00",-0.06083,"1.00e+00"
"lysosomal lumen",3,0.06761,"4.59e-01",0.01757,"1.00e+00",-0.05004,"4.59e-01"
"cis-Golgi network membrane",2,0.07216,"1.00e+00",0.02823,"1.00e+00",-0.04392,"1.00e+00"
"specific granule lumen",4,0.06346,"1.65e-01",-0.04274,"1.65e-01",0.02071,"1.00e+00"
"synaptic membrane",2,0.06355,"3.18e-01",0.05447,"3.18e-01",-0.00907,"1.00e+00"
