"PathName","N_Genes","DeltaFold","BestPvalue","Fold_Rv0827c_DMSO_noDrug","Pvalue_Rv0827c_DMSO_noDrug","Fold_Rv0827c_DMSO_RIF","Pvalue_Rv0827c_DMSO_RIF"
"protein kinase C binding",2,0.33092,"1.31e-01",0.19591,"1.31e-01",-0.13502,"1.00e+00"
"serine hydrolase activity",2,0.23282,"6.15e-02",0.12033,"6.15e-02",-0.11249,"2.91e-01"
"sterol esterase activity",2,0.23282,"6.15e-02",0.12033,"6.15e-02",-0.11249,"2.91e-01"
"lipase activity",2,0.31956,"3.07e-01",0.21014,"3.07e-01",-0.10942,"9.01e-01"
"arachidonate-CoA ligase activity",3,0.15887,"1.08e-03",0.07459,"1.08e-03",-0.08428,"2.54e-03"
"adenosine 5'-monophosphoramidase activity",2,0.17174,"2.22e-01",0.08751,"2.22e-01",-0.08422,"8.24e-01"
"long-chain fatty acid-CoA ligase activity",5,0.12843,"1.22e-03",0.05803,"1.54e-01",-0.0704,"1.22e-03"
"potassium:proton antiporter activity",2,0.16642,"2.63e-01",0.08728,"2.63e-01",-0.07914,"1.00e+00"
"carboxylic ester hydrolase activity",5,0.16533,"3.74e-01",0.10314,"3.74e-01",-0.06219,"1.00e+00"
"S-adenosyl-L-methionine binding",2,0.18331,"1.00e+00",0.10964,"1.00e+00",-0.07367,"1.00e+00"
"miRNA binding",3,0.11721,"3.44e-01",0.07156,"3.44e-01",-0.04566,"8.68e-01"
"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",3,0.11841,"4.90e-01",0.04329,"1.00e+00",-0.07512,"4.90e-01"
"carboxylesterase activity",2,0.11234,"3.76e-01",0.04909,"3.76e-01",-0.06324,"5.77e-01"
"peptide-methionine (R)-S-oxide reductase activity",2,0.1658,"1.00e+00",0.10398,"1.00e+00",-0.06182,"1.00e+00"
"hydrolase activity",7,0.10699,"1.46e-01",0.04923,"1.46e-01",-0.05775,"1.93e-01"
"steroid dehydrogenase activity",4,0.11127,"3.08e-01",0.05594,"3.08e-01",-0.05533,"4.71e-01"
"phosphate ion binding",4,0.11451,"4.69e-01",0.05292,"9.35e-01",-0.0616,"4.69e-01"
"basic amino acid transmembrane transporter activity",2,0.11204,"4.27e-01",0.05502,"7.26e-01",-0.05702,"4.27e-01"
"long-chain fatty acid transporter activity",3,0.10618,"2.62e-01",0.04679,"4.70e-01",-0.05939,"2.62e-01"
"RNA polymerase II-specific DNA-binding transcription factor binding",2,0.1423,"1.00e+00",0.11043,"1.00e+00",-0.03187,"1.00e+00"
"GTPase binding",2,0.12107,"9.39e-01",0.06557,"1.00e+00",-0.0555,"9.39e-01"
"amino acid transmembrane transporter activity",3,0.09825,"2.48e-01",0.04708,"3.82e-01",-0.05117,"2.48e-01"
"thiamine pyrophosphate binding",4,0.09522,"1.53e-01",0.04758,"1.53e-01",-0.04764,"5.81e-01"
