"PathName","N_Genes","DeltaFold","BestPvalue","Fold_Rv0827c_DMSO_noDrug","Pvalue_Rv0827c_DMSO_noDrug","Fold_Rv0827c_DMSO_RIF","Pvalue_Rv0827c_DMSO_RIF"
"extracellular matrix",2,0.08865,"1.00e+00",0.01989,"1.00e+00",-0.06876,"1.00e+00"
"cytoskeleton",8,0.08689,"1.00e+00",0.04666,"1.00e+00",-0.04023,"1.00e+00"
"lipid droplet",7,0.07035,"1.00e+00",0.03352,"1.00e+00",-0.03683,"1.00e+00"
"chromosome",4,0.04929,"9.28e-01",0.0203,"1.00e+00",-0.02899,"9.28e-01"
"nuclear envelope",6,0.04714,"1.00e+00",0.02332,"1.00e+00",-0.02382,"1.00e+00"
"plasma membrane",84,0.03258,"4.19e-02",0.01254,"1.00e+00",-0.02003,"4.19e-02"
"endosome",4,0.03077,"1.00e+00",0.0177,"1.00e+00",-0.01307,"1.00e+00"
"endoplasmic reticulum",48,0.02886,"1.00e+00",0.011,"1.00e+00",-0.01786,"1.00e+00"
"extracellular space",24,0.02565,"1.00e+00",0.01081,"1.00e+00",-0.01484,"1.00e+00"
"nucleolus",33,0.02437,"1.00e+00",0.01122,"1.00e+00",-0.01314,"1.00e+00"
"cilium",2,0.0178,"1.00e+00",0.00703,"1.00e+00",-0.01077,"1.00e+00"
"cytoplasmic vesicle",13,0.01307,"1.00e+00",-0.01047,"1.00e+00",0.0026,"1.00e+00"
"peroxisome",22,0.01109,"1.00e+00",0.0021,"1.00e+00",-0.00899,"1.00e+00"
"cytosol",247,0.00783,"1.00e+00",0.00129,"1.00e+00",-0.00654,"1.00e+00"
"vacuole",2,0.00766,"1.00e+00",-0.0149,"1.00e+00",-0.03023,"1.00e+00"
"Golgi apparatus",22,0.00651,"1.00e+00",-0.00435,"1.00e+00",-0.01737,"1.00e+00"
"mitochondrion",215,0.00525,"1.00e+00",0.00212,"1.00e+00",-0.00314,"1.00e+00"
"extracellular region",42,0.00478,"1.00e+00",-0.002,"1.00e+00",-0.01156,"1.00e+00"
"nucleus",125,0.00458,"1.00e+00",0.00024,"1.00e+00",-0.00434,"1.00e+00"
"nucleoplasm",105,0.00158,"1.00e+00",-0.00212,"1.00e+00",-0.00528,"1.00e+00"
"lysosome",7,0.00123,"1.00e+00",-0.00252,"1.00e+00",-0.00498,"1.00e+00"
"ribosome",9,0.00074,"1.00e+00",-0.00616,"1.00e+00",-0.00764,"1.00e+00"
