"PathName","N_Genes","DeltaFold","BestPvalue","Fold_Rv0827c_DMSO_noDrug","Pvalue_Rv0827c_DMSO_noDrug","Fold_Rv0827c_DMSO_RIF","Pvalue_Rv0827c_DMSO_RIF"
"hydrolase activity",7,0.10699,"1.46e-01",0.04923,"1.46e-01",-0.05775,"1.93e-01"
"protein folding chaperone",3,0.10456,"1.00e+00",0.08163,"1.00e+00",-0.02293,"1.00e+00"
"catalytic activity",2,0.10014,"1.00e+00",0.06323,"1.00e+00",-0.03692,"1.00e+00"
"isomerase activity",2,0.05238,"2.03e-01",0.00772,"1.00e+00",-0.04467,"2.03e-01"
"transferase activity",3,0.04186,"1.00e+00",0.01139,"1.00e+00",-0.03046,"1.00e+00"
"oxidoreductase activity",11,0.03654,"1.00e+00",0.01606,"1.00e+00",-0.02048,"1.00e+00"
"GTPase activity",11,0.02238,"1.00e+00",-0.01341,"1.00e+00",0.00897,"1.00e+00"
"virus receptor activity",2,0.02134,"1.00e+00",0.01799,"1.00e+00",-0.00335,"1.00e+00"
"lyase activity",4,0.01836,"1.00e+00",-0.00391,"1.00e+00",0.01445,"1.00e+00"
"RNA binding",73,0.01064,"1.00e+00",-0.00718,"1.00e+00",0.00346,"1.00e+00"
"molecular adaptor activity",2,0.01018,"1.00e+00",-0.04007,"1.00e+00",-0.01971,"1.00e+00"
"DNA binding",21,0.00665,"1.00e+00",-0.00658,"1.00e+00",7e-05,"1.00e+00"
"antioxidant activity",2,0.00145,"1.00e+00",0.00713,"1.00e+00",0.00424,"1.00e+00"
