"PathName","N_Genes","DeltaFold","BestPvalue","Fold_Rv0827c_DMSO_noDrug","Pvalue_Rv0827c_DMSO_noDrug","Fold_Rv0827c_DMSO_RIF","Pvalue_Rv0827c_DMSO_RIF"
"Arylacetamide deacetylase family",2,0.22984,"7.19e-02",0.1213,"7.19e-02",-0.10854,"2.15e-01"
"Acyl-CoA synthetase family",7,0.07874,"1.16e-01",0.03768,"6.06e-01",-0.04106,"1.16e-01"
"Abhydrolase domain containing",4,0.12867,"1.00e+00",0.08878,"1.00e+00",-0.03989,"1.00e+00"
"L ribosomal proteins",2,0.07604,"7.45e-01",-0.04858,"7.45e-01",0.02745,"1.00e+00"
"Mitochondrial respiratory chain complex assembly factors",2,0.07267,"3.98e-01",-0.04426,"3.98e-01",0.02841,"6.84e-01"
"Radical S-adenosylmethionine domain containing",4,0.07668,"1.00e+00",0.05027,"1.00e+00",-0.0264,"1.00e+00"
"RNA pseudouridylate synthase domain containing|Pseudouridine synthases",2,0.07281,"6.03e-01",-0.03676,"9.15e-01",0.03605,"6.03e-01"
"Methyltransferase families",2,0.06177,"4.42e-01",-0.03517,"4.42e-01",0.0266,"7.77e-01"
" Mitochondrial translation release factor family",2,0.07124,"9.52e-01",-0.03086,"9.54e-01",0.04037,"9.52e-01"
"Aminoacyl tRNA synthetases, Class II",3,0.06243,"8.16e-01",-0.03092,"9.13e-01",0.03151,"8.16e-01"
"Ankyrin repeat domain containing",2,0.06092,"7.80e-01",-0.02761,"7.80e-01",0.03331,"1.00e+00"
"NADH:ubiquinone oxidoreductase core subunits",5,0.05625,"4.89e-01",0.03595,"7.28e-01",-0.0203,"4.89e-01"
"DNAJ (HSP40) heat shock proteins",2,0.05782,"7.75e-01",-0.02639,"9.68e-01",0.03143,"7.75e-01"
"DNA polymerases",3,0.05801,"1.00e+00",-0.0547,"1.00e+00",0.00332,"1.00e+00"
"7BS DNA/RNA methyltransferases",4,0.05187,"1.00e+00",0.02701,"1.00e+00",-0.02485,"1.00e+00"
"Topoisomerases",2,0.04866,"4.93e-01",0.02676,"1.00e+00",-0.02189,"4.93e-01"
"Short chain dehydrogenase/reductase superfamily",22,0.04552,"1.19e-01",0.01522,"1.00e+00",-0.0303,"1.19e-01"
"Sulfatases",3,0.05069,"1.00e+00",0.02197,"1.00e+00",-0.02872,"1.00e+00"
