"PathName","N_Genes","DeltaFold","BestPvalue","Fold_Rv0827c_DMSO_noDrug","Pvalue_Rv0827c_DMSO_noDrug","Fold_Rv0827c_DMSO_RIF","Pvalue_Rv0827c_DMSO_RIF"
"corem_26 - most like iModulons: VirS",7,0.22327,"3.11e-06",0.11473,"2.46e-05",-0.10855,"3.11e-06"
"corem_5 - most like none",16,0.20288,"2.58e-20",0.07499,"9.95e-01",-0.12789,"2.58e-20"
"corem_174 - most like iModulons: VirS",10,0.20048,"4.09e-08",0.10117,"1.04e-06",-0.09931,"4.09e-08"
"corem_129 - most like iModulons: VirS",10,0.19664,"5.72e-08",0.09849,"1.28e-06",-0.09814,"5.72e-08"
"corem_504 - most like Regulons: Rv0043c",23,0.19987,"2.26e-05",0.05523,"1.00e+00",-0.14464,"2.26e-05"
"corem_410 - most like iModulons: VirS",6,0.21254,"1.20e-03",0.10216,"1.31e-03",-0.11038,"1.20e-03"
"corem_168 - most like Regulons: sirR",9,0.2115,"2.09e-03",0.07755,"1.00e+00",-0.13395,"2.09e-03"
"corem_76 - most like TFOE.Regulons: Rv0691c (mftR)",32,0.17689,"2.98e-21",0.04682,"7.16e-01",-0.13007,"2.98e-21"
"corem_417 - most like iModulons: Mce3R",37,0.17497,"8.23e-06",0.05664,"1.00e+00",-0.11833,"8.23e-06"
"corem_548 - most like iModulons: SG_3",17,0.18113,"8.42e-04",0.03382,"1.00e+00",-0.14731,"8.42e-04"
"corem_490 - most like iModulons: SG_13",26,0.17222,"3.26e-05",0.03786,"1.00e+00",-0.13436,"3.26e-05"
"corem_518 - most like iModulons: Mce3R",32,0.17058,"8.63e-05",0.05091,"1.00e+00",-0.11966,"8.63e-05"
"corem_67 - most like iModulons: Mce3R",36,0.16462,"3.85e-05",0.05299,"1.00e+00",-0.11163,"3.85e-05"
"corem_207 - most like iModulons: SG_12",7,0.25051,"2.49e-01",0.09412,"1.00e+00",-0.15639,"2.49e-01"
"corem_147 - most like iModulons: SG_12",4,0.38588,"4.08e-01",0.16269,"9.68e-01",-0.22319,"4.08e-01"
"corem_31 - most like Regulons: PDIM;PGL Synthesis",4,0.17105,"1.25e-02",-0.08537,"4.75e-02",0.08567,"1.25e-02"
