"PathName","N_Genes","DeltaFold","BestPvalue","Fold_Rv0827c_DMSO_noDrug","Pvalue_Rv0827c_DMSO_noDrug","Fold_Rv0827c_DMSO_RIF","Pvalue_Rv0827c_DMSO_RIF"
"Cushing syndrome",2,0.19123,"2.68e-01",0.10032,"2.68e-01",-0.09091,"3.90e-01"
"Cholesterol metabolism",3,0.13568,"1.67e-01",0.04704,"1.00e+00",-0.08864,"1.67e-01"
"Breast cancer",2,0.13211,"2.74e-01",-0.07172,"5.50e-01",0.06038,"2.74e-01"
"alpha-Linolenic acid metabolism",2,0.14072,"4.95e-01",0.07302,"4.95e-01",-0.0677,"9.12e-01"
"Amoebiasis",2,0.1571,"1.00e+00",0.12252,"1.00e+00",-0.03458,"1.00e+00"
"Colorectal cancer",2,0.13211,"2.74e-01",-0.07172,"5.50e-01",0.06038,"2.74e-01"
"Hepatocellular carcinoma",2,0.13211,"2.74e-01",-0.07172,"5.50e-01",0.06038,"2.74e-01"
"Bile secretion",5,0.12838,"1.89e-01",0.04488,"1.00e+00",-0.0835,"1.89e-01"
"Renal cell carcinoma",2,0.12305,"9.34e-02",0.06371,"9.34e-02",-0.05934,"3.66e-01"
"Steroid biosynthesis",3,0.11985,"7.36e-02",0.06033,"9.33e-02",-0.05952,"7.36e-02"
"Pancreatic cancer",2,0.13211,"2.74e-01",-0.07172,"5.50e-01",0.06038,"2.74e-01"
"Adipocytokine signaling pathway",5,0.1109,"1.04e-02",0.05321,"1.04e-02",-0.05769,"6.86e-02"
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",2,0.11462,"6.17e-02",0.04624,"1.00e+00",-0.06838,"6.17e-02"
"Ferroptosis",4,0.10917,"1.97e-01",0.04927,"4.36e-01",-0.05991,"1.97e-01"
"PPAR signaling pathway",11,0.08387,"3.26e-02",0.03696,"7.83e-02",-0.04691,"3.26e-02"
"Fat digestion and absorption",3,0.09967,"2.54e-01",0.04351,"2.54e-01",-0.05616,"3.75e-01"
"Glioma",2,0.10235,"4.51e-01",-0.07875,"4.51e-01",0.0236,"1.00e+00"
"AMPK signaling pathway",5,0.08324,"1.27e-01",-0.0434,"4.03e-01",0.03984,"1.27e-01"
"Inositol phosphate metabolism",3,0.0793,"1.54e-01",0.03005,"1.00e+00",-0.04925,"1.54e-01"
"Sphingolipid signaling pathway",2,0.07874,"7.46e-02",-0.04359,"8.19e-01",0.03515,"7.46e-02"
"Ascorbate and aldarate metabolism",4,0.08602,"5.77e-01",0.02372,"1.00e+00",-0.0623,"5.77e-01"
"Biosynthesis of unsaturated fatty acids",5,0.07773,"5.34e-01",0.03938,"5.34e-01",-0.03835,"7.37e-01"
"Glycerophospholipid metabolism",5,0.07315,"8.87e-03",0.03885,"8.87e-03",-0.0343,"5.24e-01"
"GABAergic synapse",2,0.07264,"2.41e-02",0.04506,"2.41e-02",-0.02757,"1.00e+00"
"Non-small cell lung cancer",2,0.0775,"1.00e+00",-0.0318,"1.00e+00",0.0457,"1.00e+00"
"Protein processing in endoplasmic reticulum",4,0.07013,"3.32e-02",-0.03431,"1.00e+00",0.03582,"3.32e-02"
"Sphingolipid metabolism",4,0.07437,"3.39e-01",-0.04944,"3.39e-01",0.02494,"1.00e+00"
"Small cell lung cancer",2,0.0775,"1.00e+00",-0.0318,"1.00e+00",0.0457,"1.00e+00"
"Salmonella infection",4,0.07731,"1.00e+00",0.05072,"1.00e+00",-0.02659,"1.00e+00"
"Lipoic acid metabolism",2,0.07382,"4.89e-01",-0.03818,"5.90e-01",0.03564,"4.89e-01"
"p53 signaling pathway",2,0.07591,"9.78e-01",-0.05224,"9.78e-01",0.02367,"1.00e+00"
"Diabetic cardiomyopathy",18,0.05636,"7.70e-03",0.03167,"7.70e-03",-0.02469,"1.90e-02"
"Insulin signaling pathway",6,0.06636,"2.73e-01",-0.03883,"2.73e-01",0.02752,"1.00e+00"
"Glycosaminoglycan degradation",3,0.06761,"4.59e-01",0.01757,"1.00e+00",-0.05004,"4.59e-01"
"Fatty acid degradation",16,0.0521,"6.15e-02",0.02216,"1.07e-01",-0.02994,"6.15e-02"
"Folate biosynthesis",8,0.0597,"1.00e+00",0.04158,"1.00e+00",-0.01812,"1.00e+00"
"Drug metabolism - cytochrome P450",6,0.05658,"1.00e+00",-0.02834,"1.00e+00",0.02824,"1.00e+00"
"Riboflavin metabolism",2,0.05541,"1.00e+00",0.03644,"1.00e+00",-0.01897,"1.00e+00"
"Retrograde endocannabinoid signaling",11,0.04293,"9.18e-02",0.0315,"9.18e-02",-0.01143,"1.00e+00"
"NOD-like receptor signaling pathway",3,0.05525,"1.00e+00",0.04394,"1.00e+00",-0.01131,"1.00e+00"
"Tuberculosis",2,0.04693,"4.65e-01",0.00919,"1.00e+00",-0.03774,"4.65e-01"
"Fluid shear stress and atherosclerosis",4,0.05377,"1.00e+00",0.04095,"1.00e+00",-0.01283,"1.00e+00"
"Amino sugar and nucleotide sugar metabolism",12,0.05097,"1.00e+00",0.01987,"1.00e+00",-0.0311,"1.00e+00"
"Fatty acid elongation",5,0.04629,"7.37e-01",0.02172,"7.37e-01",-0.02456,"9.33e-01"
"Pentose and glucuronate interconversions",6,0.04869,"1.00e+00",0.01618,"1.00e+00",-0.0325,"1.00e+00"
"Central carbon metabolism in cancer",8,0.04105,"6.87e-01",0.0122,"1.00e+00",-0.02885,"6.87e-01"
"Proteoglycans in cancer",2,0.03881,"9.98e-02",-0.01597,"1.00e+00",0.02284,"9.98e-02"
"Thermogenesis",18,0.03697,"2.42e-01",0.02239,"2.42e-01",-0.01458,"1.00e+00"
"Gastric cancer",4,0.04102,"1.00e+00",-0.04073,"1.00e+00",0.00029,"1.00e+00"
