"PathName","N_Genes","DeltaFold","BestPvalue","Fold_Rv0827c_DMSO_noDrug","Pvalue_Rv0827c_DMSO_noDrug","Fold_Rv0827c_DMSO_RIF","Pvalue_Rv0827c_DMSO_RIF"
"AMPK signaling",2,0.15109,"1.37e-01",-0.08183,"1.59e-01",0.06926,"1.37e-01"
"Eukaryotic Transcription Initiation",2,0.1587,"4.47e-01",-0.07745,"8.20e-01",0.08125,"4.47e-01"
"mRNA processing",2,0.14558,"4.36e-01",0.08599,"4.36e-01",-0.05959,"9.10e-01"
"Vitamin A and carotenoid metabolism",4,0.10516,"4.58e-03",0.03487,"1.00e+00",-0.07029,"4.58e-03"
"Glucuronidation",2,0.14222,"5.94e-01",0.04183,"1.00e+00",-0.1004,"5.94e-01"
"Irinotecan Pathway",2,0.09194,"1.00e+00",0.02708,"1.00e+00",-0.06485,"1.00e+00"
"Sulfation Biotransformation Reaction",3,0.08506,"3.26e-02",0.02338,"1.00e+00",-0.06168,"3.26e-02"
"SIDS Susceptibility Pathways",4,0.08882,"1.00e+00",0.04326,"1.00e+00",-0.04556,"1.00e+00"
"SREBF and miR33 in cholesterol and lipid homeostasis",2,0.08711,"8.79e-01",-0.06133,"8.79e-01",0.02577,"1.00e+00"
"cytochrome P450",5,0.07606,"4.46e-01",0.0289,"1.00e+00",-0.04716,"4.46e-01"
"Muscle cell TarBase",17,0.06774,"1.97e-01",0.03652,"1.97e-01",-0.03122,"2.74e-01"
"Nuclear receptors in lipid metabolism and toxicity",6,0.054,"7.03e-01",0.00066,"1.00e+00",-0.05334,"7.03e-01"
"Oxidative Stress",6,0.064,"1.00e+00",0.04453,"1.00e+00",-0.01947,"1.00e+00"
"Translation Factors",2,0.05231,"2.67e-01",0.00077,"1.00e+00",-0.05153,"2.67e-01"
"TNF alpha Signaling Pathway",3,0.04852,"9.73e-01",-0.02276,"1.00e+00",0.02575,"9.73e-01"
"Synthesis and Degradation of Ketone Bodies",3,0.04802,"1.00e+00",0.02268,"1.00e+00",-0.02534,"1.00e+00"
"iron metabolism in placenta",3,0.0459,"1.00e+00",0.01453,"1.00e+00",-0.03136,"1.00e+00"
"Pentose Phosphate Pathway",4,0.03938,"1.00e+00",0.01309,"1.00e+00",-0.0263,"1.00e+00"
"Tryptophan metabolism",12,0.03766,"1.00e+00",0.02178,"1.00e+00",-0.01588,"1.00e+00"
"Adipogenesis",2,0.03645,"1.00e+00",0.01141,"1.00e+00",-0.02503,"1.00e+00"
"Lymphocyte TarBase",27,0.03633,"1.00e+00",0.0219,"1.00e+00",-0.01443,"1.00e+00"
"Fluoropyrimidine Activity",11,0.03583,"1.00e+00",0.0196,"1.00e+00",-0.01623,"1.00e+00"
"Fatty Acid Beta Oxidation",16,0.03421,"1.00e+00",0.01687,"1.00e+00",-0.01734,"1.00e+00"
"Insulin Signaling",4,0.0338,"1.00e+00",0.01013,"1.00e+00",-0.02367,"1.00e+00"
"Alanine and aspartate metabolism",4,0.03344,"1.00e+00",0.01885,"1.00e+00",-0.01459,"1.00e+00"
"Cholesterol Biosynthesis",3,0.03159,"1.00e+00",0.00856,"1.00e+00",-0.02303,"1.00e+00"
"Heme Biosynthesis",6,0.02786,"1.00e+00",-0.01972,"1.00e+00",0.00814,"1.00e+00"
"DNA damage response (only ATM dependent)",3,0.0268,"1.00e+00",0.01313,"1.00e+00",-0.01368,"1.00e+00"
"Glycine Metabolism",2,0.02459,"1.00e+00",-0.01885,"1.00e+00",0.00574,"1.00e+00"
"Glutathione metabolism",5,0.02343,"1.00e+00",0.00158,"1.00e+00",-0.02185,"1.00e+00"
"Codeine and morphine metabolism",3,0.02306,"1.00e+00",-0.0127,"1.00e+00",-0.05881,"1.00e+00"
"Polyol pathway",2,0.02289,"1.00e+00",0.01194,"1.00e+00",-0.01095,"1.00e+00"
"Alzheimers Disease",3,0.02252,"1.00e+00",0.01919,"1.00e+00",-0.00333,"1.00e+00"
"Squamous cell  TarBase",6,0.02249,"1.00e+00",0.00854,"1.00e+00",-0.01395,"1.00e+00"
"Biogenic Amine Synthesis",3,0.02153,"1.00e+00",0.0064,"1.00e+00",-0.01513,"1.00e+00"
"Vitamin B12 Metabolism",11,0.02126,"1.00e+00",0.00271,"1.00e+00",-0.01855,"1.00e+00"
"Peroxisomal beta-oxidation of tetracosanoyl-CoA",3,0.02094,"1.00e+00",0.01161,"1.00e+00",-0.00933,"1.00e+00"
"Cytoplasmic Ribosomal Proteins",10,0.0204,"1.00e+00",-0.01738,"1.00e+00",0.00302,"1.00e+00"
"Leukocyte TarBase",9,0.01794,"1.00e+00",0.0106,"1.00e+00",-0.00734,"1.00e+00"
"Triacylglyceride Synthesis",5,0.01638,"1.00e+00",0.01424,"1.00e+00",-0.00215,"1.00e+00"
"Tamoxifen metabolism",2,0.01516,"1.00e+00",-0.02565,"1.00e+00",-0.05596,"1.00e+00"
