"PathName","N_Genes","DeltaFold","BestPvalue","Fold_Rv0827c_DMSO_noDrug","Pvalue_Rv0827c_DMSO_noDrug","Fold_Rv0827c_DMSO_RIF","Pvalue_Rv0827c_DMSO_RIF"
"CCKR signaling map",3,0.17942,"4.98e-01",0.11522,"4.98e-01",-0.0642,"1.00e+00"
"Hypoxia response via HIF activation",2,0.09965,"1.00e+00",0.07488,"1.00e+00",-0.02477,"1.00e+00"
"Cholesterol biosynthesis",2,0.08112,"2.66e-01",-0.04345,"5.16e-01",0.03767,"2.66e-01"
"Pyrimidine Metabolism",4,0.08711,"1.00e+00",0.03608,"1.00e+00",-0.05103,"1.00e+00"
"N-acetylglucosamine metabolism",2,0.07267,"9.07e-02",0.03057,"9.07e-02",-0.0421,"3.86e-01"
"Muscarinic acetylcholine receptor 2 and 4 signaling pathway",2,0.07342,"1.00e+00",0.02762,"1.00e+00",-0.04581,"1.00e+00"
"Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway",2,0.06949,"2.74e-01",-0.04899,"2.74e-01",0.0205,"1.00e+00"
"Xanthine and guanine salvage pathway",2,0.06581,"2.12e-01",0.04929,"2.12e-01",-0.01652,"1.00e+00"
"O-antigen biosynthesis",3,0.0612,"2.10e-01",0.03107,"2.10e-01",-0.03013,"5.00e-01"
"Nicotinic acetylcholine receptor signaling pathway",2,0.0636,"1.00e+00",0.02864,"1.00e+00",-0.03496,"1.00e+00"
"TCA cycle",6,0.04234,"1.00e+00",0.01443,"1.00e+00",-0.02791,"1.00e+00"
"S-adenosylmethionine biosynthesis",2,0.04166,"7.68e-01",0.01487,"1.00e+00",-0.02679,"7.68e-01"
"Methylmalonyl pathway",3,0.04192,"1.00e+00",0.01058,"1.00e+00",-0.03134,"1.00e+00"
"ATP synthesis",3,0.04133,"1.00e+00",-0.02466,"1.00e+00",0.01667,"1.00e+00"
"Adrenaline and noradrenaline biosynthesis",2,0.04055,"1.00e+00",-0.0268,"1.00e+00",0.01375,"1.00e+00"
"Tetrahydrofolate biosynthesis",4,0.03838,"5.79e-01",-0.005,"1.00e+00",0.03337,"5.79e-01"
"Dopamine receptor mediated signaling pathway",2,0.04055,"1.00e+00",-0.0268,"1.00e+00",0.01375,"1.00e+00"
"Hedgehog signaling pathway",2,0.0373,"1.00e+00",0.01966,"1.00e+00",-0.01764,"1.00e+00"
"Metabotropic glutamate receptor group III pathway",2,0.03592,"1.00e+00",0.00681,"1.00e+00",-0.02911,"1.00e+00"
"Wnt signaling pathway",2,0.03565,"1.00e+00",-0.01772,"1.00e+00",0.01793,"1.00e+00"
"Huntington disease",3,0.03428,"1.00e+00",0.00097,"1.00e+00",-0.03332,"1.00e+00"
"De novo pyrimidine deoxyribonucleotide biosynthesis",6,0.0311,"1.00e+00",-0.01449,"1.00e+00",0.01661,"1.00e+00"
"Arginine biosynthesis",4,0.02583,"1.00e+00",0.0093,"1.00e+00",-0.01653,"1.00e+00"
"Parkinson disease",2,0.02238,"1.00e+00",0.00808,"1.00e+00",-0.0143,"1.00e+00"
"Pyruvate metabolism",6,0.02234,"1.00e+00",0.00191,"1.00e+00",-0.02043,"1.00e+00"
"Heme biosynthesis",8,0.02161,"1.00e+00",-0.00797,"1.00e+00",0.01364,"1.00e+00"
"Serine glycine biosynthesis",4,0.02129,"1.00e+00",0.01021,"1.00e+00",-0.01107,"1.00e+00"
"De novo purine biosynthesis",12,0.02064,"1.00e+00",-0.00667,"1.00e+00",0.01396,"1.00e+00"
"Salvage pyrimidine ribonucleotides",4,0.02057,"1.00e+00",0.0082,"1.00e+00",-0.01238,"1.00e+00"
"Glycolysis",8,0.01536,"1.00e+00",0.00623,"1.00e+00",-0.00913,"1.00e+00"
"Succinate to proprionate conversion",2,0.01044,"1.00e+00",-0.00602,"1.00e+00",-0.02691,"1.00e+00"
"5-Hydroxytryptamine degredation",5,0.00911,"1.00e+00",-0.01591,"1.00e+00",-0.03414,"1.00e+00"
"Isoleucine biosynthesis",2,0.00543,"1.00e+00",-0.00421,"1.00e+00",0.00122,"1.00e+00"
"Valine biosynthesis",2,0.00543,"1.00e+00",-0.00421,"1.00e+00",0.00122,"1.00e+00"
"Pentose phosphate pathway",3,0.00439,"1.00e+00",-0.00039,"1.00e+00",-0.00918,"1.00e+00"
"Vitamin B6 metabolism",3,0.00383,"1.00e+00",-0.01123,"1.00e+00",-0.01889,"1.00e+00"
"Formyltetrahydrofolate biosynthesis",4,0.00369,"1.00e+00",0.01441,"1.00e+00",0.00702,"1.00e+00"
"Adenine and hypoxanthine salvage pathway",5,0.00366,"1.00e+00",0.01679,"1.00e+00",0.00946,"1.00e+00"
"Mannose metabolism",3,0.00236,"1.00e+00",-0.00117,"1.00e+00",-0.00588,"1.00e+00"
"DNA replication",2,0.00149,"1.00e+00",0.00499,"1.00e+00",0.00201,"1.00e+00"
"Endothelin signaling pathway",2,0.00059,"1.00e+00",-0.01734,"1.00e+00",-0.01853,"1.00e+00"
"De novo pyrimidine ribonucleotides biosythesis",4,0.00055,"1.00e+00",-0.00566,"1.00e+00",-0.00456,"1.00e+00"
