"PathName","N_Genes","DeltaFold","BestPvalue","Fold_Rv0827c_DMSO_noDrug","Pvalue_Rv0827c_DMSO_noDrug","Fold_Rv0827c_DMSO_RIF","Pvalue_Rv0827c_DMSO_RIF"
"Interferon Signaling",2,0.17688,"8.06e-02",0.09344,"2.64e-01",-0.08344,"8.06e-02"
"ESR-mediated signaling",2,0.17899,"3.00e-01",-0.09351,"3.00e-01",0.08548,"3.44e-01"
"Estrogen-dependent gene expression",2,0.17899,"3.00e-01",-0.09351,"3.00e-01",0.08548,"3.44e-01"
"Gene Silencing by RNA",2,0.17102,"2.46e-01",-0.0834,"7.01e-01",0.08762,"2.46e-01"
"MicroRNA (miRNA) biogenesis",2,0.17102,"2.46e-01",-0.0834,"7.01e-01",0.08762,"2.46e-01"
"LDL clearance",2,0.16955,"1.91e-01",0.06718,"1.00e+00",-0.10237,"1.91e-01"
"Plasma lipoprotein clearance",2,0.16955,"1.91e-01",0.06718,"1.00e+00",-0.10237,"1.91e-01"
"Formation of HIV elongation complex in the absence of HIV Tat",2,0.1587,"4.47e-01",-0.07745,"8.20e-01",0.08125,"4.47e-01"
"Signaling by Receptor Tyrosine Kinases",2,0.17432,"4.79e-01",-0.08794,"5.24e-01",0.08638,"4.79e-01"
"Formation of HIV-1 elongation complex containing HIV-1 Tat",2,0.1587,"4.47e-01",-0.07745,"8.20e-01",0.08125,"4.47e-01"
"Formation of RNA Pol II elongation complex",2,0.1587,"4.47e-01",-0.07745,"8.20e-01",0.08125,"4.47e-01"
"Formation of TC-NER Pre-Incision Complex",2,0.1587,"4.47e-01",-0.07745,"8.20e-01",0.08125,"4.47e-01"
"Formation of the Early Elongation Complex",2,0.1587,"4.47e-01",-0.07745,"8.20e-01",0.08125,"4.47e-01"
"Formation of the HIV-1 Early Elongation Complex",2,0.1587,"4.47e-01",-0.07745,"8.20e-01",0.08125,"4.47e-01"
"HIV Transcription Elongation",2,0.1587,"4.47e-01",-0.07745,"8.20e-01",0.08125,"4.47e-01"
"HIV Transcription Initiation",2,0.1587,"4.47e-01",-0.07745,"8.20e-01",0.08125,"4.47e-01"
"Late Phase of HIV Life Cycle",2,0.1587,"4.47e-01",-0.07745,"8.20e-01",0.08125,"4.47e-01"
"mRNA Capping",2,0.1587,"4.47e-01",-0.07745,"8.20e-01",0.08125,"4.47e-01"
"RNA Pol II CTD phosphorylation and interaction with CE",2,0.1587,"4.47e-01",-0.07745,"8.20e-01",0.08125,"4.47e-01"
"RNA Pol II CTD phosphorylation and interaction with CE during HIV infection",2,0.1587,"4.47e-01",-0.07745,"8.20e-01",0.08125,"4.47e-01"
"Membrane Trafficking",3,0.15299,"1.89e-02",0.07282,"1.89e-02",-0.08018,"5.67e-02"
"RNA Polymerase II HIV Promoter Escape",2,0.1587,"4.47e-01",-0.07745,"8.20e-01",0.08125,"4.47e-01"
"Dual incision in TC-NER",4,0.14931,"4.68e-02",-0.07598,"1.83e-01",0.07333,"4.68e-02"
"RNA Polymerase II Pre-transcription Events",2,0.1587,"4.47e-01",-0.07745,"8.20e-01",0.08125,"4.47e-01"
"RNA Polymerase II Promoter Escape",2,0.1587,"4.47e-01",-0.07745,"8.20e-01",0.08125,"4.47e-01"
"RNA Polymerase II Transcription Elongation",2,0.1587,"4.47e-01",-0.07745,"8.20e-01",0.08125,"4.47e-01"
"Signaling by NOTCH",2,0.15697,"2.61e-01",0.08519,"4.62e-01",-0.07178,"2.61e-01"
"DNA Double-Strand Break Repair",2,0.13992,"1.68e-01",-0.07452,"4.91e-01",0.0654,"1.68e-01"
"RNA Polymerase II Transcription Initiation",2,0.1587,"4.47e-01",-0.07745,"8.20e-01",0.08125,"4.47e-01"
"HDR through Homologous Recombination (HRR)",2,0.13992,"1.68e-01",-0.07452,"4.91e-01",0.0654,"1.68e-01"
"RNA Polymerase II Transcription Initiation And Promoter Clearance",2,0.1587,"4.47e-01",-0.07745,"8.20e-01",0.08125,"4.47e-01"
"HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)",2,0.13992,"1.68e-01",-0.07452,"4.91e-01",0.0654,"1.68e-01"
"RNA Polymerase II Transcription Pre-Initiation And Promoter Opening",2,0.1587,"4.47e-01",-0.07745,"8.20e-01",0.08125,"4.47e-01"
