"PathName","N_Genes","DeltaFold","BestPvalue","Fold_Rv0827c_DMSO_noDrug","Pvalue_Rv0827c_DMSO_noDrug","Fold_Rv0827c_DMSO_RIF","Pvalue_Rv0827c_DMSO_RIF"
"virS",8,0.22575,"1.28e-06",0.11263,"2.16e-06",-0.11312,"1.28e-06"
"Rv2282c",2,0.17058,"2.29e-01",0.08267,"2.29e-01",-0.08791,"9.50e-01"
"Rv0452",2,0.28885,"3.68e-01",0.08771,"1.00e+00",-0.20114,"3.68e-01"
"Rv3183",2,0.38677,"5.22e-01",0.13524,"8.99e-01",-0.25153,"5.22e-01"
"sirR",30,0.14588,"4.90e-03",0.06089,"9.94e-01",-0.085,"4.90e-03"
"Rv0043c",7,0.14476,"3.46e-03",0.06121,"1.00e+00",-0.08355,"3.46e-03"
"Rv1019",2,0.16726,"2.56e-01",0.07985,"3.16e-01",-0.08741,"2.56e-01"
"Rv0674",4,0.16054,"2.45e-01",0.06349,"3.87e-01",-0.09705,"2.45e-01"
"fasR",5,0.1516,"2.94e-01",0.04435,"1.00e+00",-0.10725,"2.94e-01"
"Rv0260c",8,0.15122,"2.61e-01",0.06127,"6.39e-01",-0.08994,"2.61e-01"
"Rv1626",2,0.21584,"9.04e-01",0.11863,"1.00e+00",-0.09721,"9.04e-01"
"fhaA",2,0.15093,"2.57e-01",0.06977,"1.00e+00",-0.08116,"2.57e-01"
"prpR",16,0.12835,"4.37e-02",0.03712,"1.00e+00",-0.09123,"4.37e-02"
"Rv0744c",3,0.16826,"7.90e-01",0.04075,"1.00e+00",-0.1275,"7.90e-01"
"Rv2884",6,0.13576,"2.38e-01",0.0674,"2.38e-01",-0.06836,"3.06e-01"
"vapB27",3,0.11732,"1.21e-01",-0.06851,"1.21e-01",0.04881,"1.76e-01"
"sigF",28,0.11344,"4.26e-03",0.05111,"1.93e-01",-0.06233,"4.26e-03"
"Rv0681",23,0.11018,"2.30e-03",0.04411,"3.99e-01",-0.06607,"2.30e-03"
"Rv0328",112,0.10518,"1.03e-13",0.04622,"8.84e-07",-0.05895,"1.03e-13"
"Rv1773c",16,0.11728,"2.27e-01",0.05123,"4.18e-01",-0.06606,"2.27e-01"
"phoY2",2,0.13459,"4.67e-01",0.06295,"1.00e+00",-0.07164,"4.67e-01"
"PDIM;PGL Synthesis",7,0.10878,"2.86e-02",-0.05164,"1.24e-01",0.05714,"2.86e-02"
"Rv1358",8,0.12106,"5.60e-01",0.0398,"1.00e+00",-0.08126,"5.60e-01"
"Rv0891c",5,0.10844,"2.53e-01",0.05226,"2.59e-01",-0.05618,"2.53e-01"
"sigD",6,0.11666,"9.96e-01",0.0638,"9.96e-01",-0.05286,"1.00e+00"
"Rv0042c",5,0.11648,"9.47e-01",0.04354,"1.00e+00",-0.07294,"9.47e-01"
"Rv0818",25,0.09189,"5.43e-02",0.04314,"1.78e-01",-0.04875,"5.43e-02"
"moxR3",3,0.10941,"1.00e+00",0.06067,"1.00e+00",-0.04874,"1.00e+00"
"Rv1176c",3,0.10583,"3.92e-01",0.05196,"1.00e+00",-0.05387,"3.92e-01"
