"PathName","N_Genes","DeltaFold","BestPvalue","Fold_Rv0827c_DMSO_noDrug","Pvalue_Rv0827c_DMSO_noDrug","Fold_Rv0827c_DMSO_RIF","Pvalue_Rv0827c_DMSO_RIF"
"hypoxia_late (N=224)",224,0.15255,"2.86e-19",0.03118,"1.00e+00",-0.12137,"2.86e-19"
"nutrient_limitation (N=103)",103,0.08683,"3.45e-09",0.03405,"3.80e-03",-0.05278,"3.45e-09"
"butyrate (N=47)",47,0.07955,"8.26e-02",0.03393,"8.26e-02",-0.04562,"2.34e-01"
"acidic_tyloxopol (N=140)",140,0.06711,"3.85e-06",0.03047,"3.85e-06",-0.03664,"1.01e-05"
"hypoxia_fatty_acids (N=192)",192,0.06544,"7.12e-12",0.02425,"5.75e-04",-0.0412,"7.12e-12"
"cholesterol (N=90)",90,0.05754,"5.17e-03",0.02872,"5.17e-03",-0.02882,"8.82e-02"
"human_sputum (N=224)",224,0.04647,"5.74e-07",0.01376,"1.00e+00",-0.03271,"5.74e-07"
"PBS_RIF_DDmtb (N=224)",224,0.03487,"7.34e-02",0.01035,"1.00e+00",-0.02452,"7.34e-02"
"hypoxia_rar (N=79)",79,0.02939,"2.19e-01",-0.01621,"2.19e-01",0.01318,"1.00e+00"
"hypoxia_hypoxic (N=57)",57,0.02756,"1.00e+00",0.01045,"1.00e+00",-0.01711,"1.00e+00"
"INDIGO_exponential (N=182)",182,0.02326,"2.98e-01",0.01055,"6.95e-01",-0.01271,"2.98e-01"
"low_iron (N=112)",112,0.02251,"1.00e+00",0.0096,"1.00e+00",-0.01291,"1.00e+00"
"butyrate_plus_glucose (N=60)",60,0.02053,"1.00e+00",0.00447,"1.00e+00",-0.01605,"1.00e+00"
"zinc_limitation (N=224)",224,0.01936,"1.00e+00",-0.01022,"1.00e+00",0.00914,"1.00e+00"
"tyloxopol (N=224)",224,0.01502,"1.00e+00",0.00595,"1.00e+00",-0.00907,"1.00e+00"
"ctl_stationary (N=155)",155,0.01321,"1.00e+00",0.0014,"1.00e+00",-0.0118,"1.00e+00"
"high_iron (N=149)",149,0.01084,"1.00e+00",-0.00713,"1.00e+00",0.00372,"1.00e+00"
"acidic (N=147)",147,0.00814,"1.00e+00",0.00252,"1.00e+00",-0.00562,"1.00e+00"
"microaerophilic (N=224)",224,0.00576,"1.00e+00",-0.00345,"1.00e+00",0.00231,"1.00e+00"
"ctl_exponential (N=79)",79,0.00161,"1.00e+00",0.00368,"1.00e+00",0.00046,"1.00e+00"
