"PathName","N_Genes","DeltaFold","BestPvalue","Fold_Rv0827c_DMSO_noDrug","Pvalue_Rv0827c_DMSO_noDrug","Fold_Rv0827c_DMSO_RIF","Pvalue_Rv0827c_DMSO_RIF"
"hypoxia_rar: top 5 genes",5,0.17583,"8.10e-02",-0.08575,"8.94e-02",0.09008,"8.10e-02"
"acidic_tyloxopol: top 5 genes",5,0.17084,"1.69e-02",0.06766,"1.30e-01",-0.10318,"1.69e-02"
"butyrate_plus_glucose: top 5 genes",5,0.23544,"2.54e-01",0.0839,"4.62e-01",-0.15154,"2.54e-01"
"butyrate_plus_glucose: top 10 genes",10,0.1749,"3.80e-02",0.06227,"1.04e-01",-0.11263,"3.80e-02"
"hypoxia_rar: top 10 genes",10,0.15114,"4.34e-03",-0.07309,"4.34e-03",0.07805,"3.71e-02"
"acidic_tyloxopol: top 10 genes",10,0.13998,"2.09e-03",0.06755,"2.09e-03",-0.07243,"1.33e-01"
"butyrate: top 10 genes",10,0.16163,"1.45e-01",0.04292,"1.00e+00",-0.1187,"1.45e-01"
"low_iron: top 5 genes",5,0.15251,"4.27e-02",0.06086,"2.00e-01",-0.09165,"4.27e-02"
"acidic_tyloxopol: top 25 genes",25,0.12816,"1.79e-03",0.05577,"1.44e-01",-0.0724,"1.79e-03"
"hypoxia_fatty_acids: top 10 genes",10,0.12448,"2.33e-02",0.07315,"2.33e-02",-0.05133,"1.00e+00"
"hypoxia_fatty_acids: top 25 genes",25,0.12076,"6.14e-03",0.05801,"1.81e-02",-0.06275,"6.14e-03"
"nutrient_limitation: top 10 genes",10,0.13367,"5.97e-01",0.06811,"1.00e+00",-0.06556,"5.97e-01"
"low_iron: top 10 genes",10,0.11859,"6.08e-03",0.05283,"1.50e-02",-0.06576,"6.08e-03"
"nutrient_limitation: top 5 genes",5,0.12507,"1.00e+00",0.07082,"1.00e+00",-0.05425,"1.00e+00"
"nutrient_limitation: top 50 genes",50,0.10842,"1.32e-04",0.0435,"2.72e-01",-0.06492,"1.32e-04"
"acidic_tyloxopol: top 50 genes",50,0.10801,"7.26e-05",0.04648,"2.62e-03",-0.06153,"7.26e-05"
"hypoxia_hypoxic: top 5 genes",5,0.12301,"1.00e+00",0.05446,"1.00e+00",-0.06855,"1.00e+00"
"hypoxia_fatty_acids: top 5 genes",5,0.11498,"2.89e-01",0.07854,"2.89e-01",-0.03644,"1.00e+00"
"hypoxia_hypoxic: top 10 genes",10,0.11763,"1.00e+00",0.06506,"1.00e+00",-0.05257,"1.00e+00"
"cholesterol: top 25 genes",25,0.10282,"1.45e-02",0.05579,"1.45e-02",-0.04702,"6.51e-01"
"human_sputum: top 5 genes",5,0.11507,"1.00e+00",0.03659,"1.00e+00",-0.07848,"1.00e+00"
"hypoxia_fatty_acids: top 50 genes",50,0.09546,"5.40e-05",0.03794,"3.01e-01",-0.05752,"5.40e-05"
"hypoxia_late: top 50 genes",50,0.09757,"2.31e-02",0.01912,"1.00e+00",-0.07845,"2.31e-02"
"nutrient_limitation: top 100 genes",100,0.09006,"2.19e-09",0.03554,"2.46e-03",-0.05452,"2.19e-09"
"microaerophilic: top 5 genes",5,0.10334,"1.00e+00",0.02994,"1.00e+00",-0.0734,"1.00e+00"
"hypoxia_late: top 100 genes",100,0.08438,"3.69e-05",0.01353,"1.00e+00",-0.07086,"3.69e-05"
"nutrient_limitation: top 25 genes",25,0.09616,"2.06e-01",0.03977,"1.00e+00",-0.05639,"2.06e-01"
"hypoxia_fatty_acids: top 100 genes",100,0.08326,"3.21e-09",0.03118,"1.35e-02",-0.05208,"3.21e-09"
"acidic_tyloxopol: top 100 genes",100,0.08301,"2.08e-05",0.03679,"2.08e-05",-0.04622,"3.05e-05"
"PBS_RIF_DDmtb: top 25 genes",25,0.10238,"1.00e+00",0.04963,"1.00e+00",-0.05275,"1.00e+00"
"PBS_RIF_DDmtb: top 50 genes",50,0.0943,"1.00e+00",0.04564,"1.00e+00",-0.04866,"1.00e+00"
"PBS_RIF_DDmtb: top 5 genes",5,0.09084,"1.00e+00",0.04521,"1.00e+00",-0.04563,"1.00e+00"
"butyrate: top 50 genes",47,0.07955,"8.26e-02",0.03393,"8.26e-02",-0.04562,"2.34e-01"
"hypoxia_rar: top 25 genes",25,0.07823,"5.71e-03",-0.04025,"5.71e-03",0.03797,"3.89e-01"
"butyrate: top 100 genes",47,0.07955,"8.26e-02",0.03393,"8.26e-02",-0.04562,"2.34e-01"
"butyrate: top 25 genes",25,0.0822,"1.00e+00",0.0264,"1.00e+00",-0.05581,"1.00e+00"
"cholesterol: top 50 genes",50,0.0723,"1.27e-02",0.03802,"1.27e-02",-0.03427,"2.82e-01"
"INDIGO_exponential: top 10 genes",10,0.07801,"9.24e-01",0.0456,"9.24e-01",-0.0324,"1.00e+00"
"acidic: top 5 genes",5,0.07824,"1.00e+00",0.01588,"1.00e+00",-0.06236,"1.00e+00"
"cholesterol: top 100 genes",90,0.05754,"5.17e-03",0.02872,"5.17e-03",-0.02882,"8.82e-02"
"butyrate_plus_glucose: top 25 genes",25,0.06789,"2.13e-01",0.02,"1.00e+00",-0.04789,"2.13e-01"
"cholesterol: top 10 genes",10,0.07625,"7.38e-01",0.0442,"7.38e-01",-0.03205,"1.00e+00"
"hypoxia_hypoxic: top 25 genes",25,0.07789,"1.00e+00",0.04132,"1.00e+00",-0.03657,"1.00e+00"
"zinc_limitation: top 5 genes",5,0.07725,"1.00e+00",0.02724,"1.00e+00",-0.05,"1.00e+00"
"PBS_RIF_DDmtb: top 100 genes",100,0.06036,"2.79e-01",0.02121,"1.00e+00",-0.03915,"2.79e-01"
"human_sputum: top 10 genes",10,0.0672,"1.00e+00",0.0262,"1.00e+00",-0.04101,"1.00e+00"
"human_sputum: top 50 genes",50,0.05433,"3.46e-01",0.02168,"1.00e+00",-0.03265,"3.46e-01"
"high_iron: top 10 genes",10,0.04839,"8.15e-03",0.01968,"1.00e+00",-0.02871,"8.15e-03"
"human_sputum: top 100 genes",100,0.05044,"2.53e-02",0.01699,"1.00e+00",-0.03345,"2.53e-02"
"low_iron: top 25 genes",25,0.05285,"9.59e-01",0.02955,"9.59e-01",-0.0233,"1.00e+00"
"acidic: top 10 genes",10,0.05537,"1.00e+00",0.01645,"1.00e+00",-0.03892,"1.00e+00"
"hypoxia_rar: top 50 genes",50,0.04802,"2.59e-02",-0.02433,"2.59e-02",0.02368,"4.35e-01"
"zinc_limitation: top 10 genes",10,0.05283,"1.00e+00",0.01175,"1.00e+00",-0.04107,"1.00e+00"
"high_iron: top 5 genes",5,0.04492,"4.59e-01",0.02281,"1.00e+00",-0.02211,"4.59e-01"
"PBS_RIF_DDmtb: top 10 genes",10,0.05201,"1.00e+00",0.01992,"1.00e+00",-0.03209,"1.00e+00"
"acidic: top 25 genes",25,0.04425,"4.48e-01",0.00801,"1.00e+00",-0.03624,"4.48e-01"
"INDIGO_exponential: top 5 genes",5,0.04012,"1.98e-01",0.01616,"1.00e+00",-0.02396,"1.98e-01"
"microaerophilic: top 10 genes",10,0.04374,"1.00e+00",0.01023,"1.00e+00",-0.0335,"1.00e+00"
"cholesterol: top 5 genes",5,0.04208,"1.00e+00",0.03918,"1.00e+00",-0.0029,"1.00e+00"
"human_sputum: top 25 genes",25,0.03984,"1.00e+00",0.01969,"1.00e+00",-0.02015,"1.00e+00"
