"PathName","N_Genes","DeltaFold","BestPvalue","Fold_Rv0827c_DMSO_noDrug","Pvalue_Rv0827c_DMSO_noDrug","Fold_Rv0827c_DMSO_RIF","Pvalue_Rv0827c_DMSO_RIF"
"TFOE Regulon of Rv3124 (moaR1)",9,0.19394,"6.25e-02",0.06717,"1.00e+00",-0.12677,"6.25e-02"
"TFOE Regulon of Rv1267c (embR)",2,0.21254,"1.04e-01",0.10115,"2.60e-01",-0.11139,"1.04e-01"
"TFOE Regulon of Rv3055",7,0.17261,"1.85e-04",0.08426,"3.12e-03",-0.08835,"1.85e-04"
"TFOE Regulon of Rv0608 (vapB28)",2,0.17529,"1.54e-02",-0.10112,"1.54e-02",0.07417,"2.36e-02"
"TFOE Regulon of Rv3183",2,0.41686,"2.46e-01",0.1028,"1.00e+00",-0.31406,"2.46e-01"
"TFOE Regulon of Rv3164c (moxR3)",19,0.17062,"3.22e-04",0.07788,"2.68e-02",-0.09273,"3.22e-04"
"TFOE Regulon of Rv1453",4,0.18951,"1.41e-01",0.09682,"1.46e-01",-0.09269,"1.41e-01"
"TFOE Regulon of Rv3488",8,0.21654,"3.72e-01",0.08846,"9.51e-01",-0.12808,"3.72e-01"
"TFOE Regulon of Rv0117 (oxyS)",5,0.17016,"3.83e-03",0.09203,"3.83e-03",-0.07812,"6.18e-02"
"TFOE Regulon of Rv1956 (higA)",3,0.17082,"1.56e-01",0.07854,"6.58e-01",-0.09228,"1.56e-01"
"TFOE Regulon of Rv3295",4,0.15523,"1.86e-03",-0.0829,"1.86e-03",0.07233,"5.32e-02"
"TFOE Regulon of Rv0674",5,0.16415,"1.57e-01",0.06401,"2.02e-01",-0.10014,"1.57e-01"
"TFOE Regulon of Rv2642",4,0.16691,"2.58e-01",0.0781,"5.34e-01",-0.08881,"2.58e-01"
"TFOE Regulon of Rv3414c (sigD)",3,0.17384,"1.00e+00",0.05644,"1.00e+00",-0.1174,"1.00e+00"
"TFOE Regulon of Rv0792c",4,0.13759,"2.58e-01",0.05831,"2.58e-01",-0.07927,"2.66e-01"
"TFOE Regulon of Rv3219 (whiB1)",2,0.15759,"1.00e+00",-0.09732,"1.00e+00",0.06027,"1.00e+00"
"TFOE Regulon of Rv0232",10,0.13494,"4.27e-01",0.04203,"1.00e+00",-0.09291,"4.27e-01"
"TFOE Regulon of Rv3830c",2,0.13959,"1.00e+00",0.004,"1.00e+00",-0.13558,"1.00e+00"
"TFOE Regulon of Rv1560 (vapB11)",2,0.13672,"7.33e-01",-0.06273,"7.33e-01",0.07399,"1.00e+00"
"TFOE Regulon of Rv1776c",24,0.11327,"1.60e-02",0.04524,"9.86e-01",-0.06803,"1.60e-02"
"TFOE Regulon of Rv0043c",18,0.12569,"1.95e-01",0.05879,"4.48e-01",-0.0669,"1.95e-01"
"TFOE Regulon of Rv0681",11,0.12481,"1.29e-01",0.05538,"9.72e-01",-0.06942,"1.29e-01"
"TFOE Regulon of Rv0328",85,0.10365,"1.51e-11",0.04415,"3.37e-05",-0.0595,"1.51e-11"
"TFOE Regulon of Rv0623 (vapB30)",3,0.13241,"1.00e+00",-0.09728,"1.00e+00",0.03513,"1.00e+00"
"TFOE Regulon of Rv0165c (mce1R)",3,0.1148,"3.08e-01",0.04933,"7.27e-01",-0.06546,"3.08e-01"
