"PathName","N_Genes","DeltaFold","BestPvalue","Fold_Rv0827c_DMSO_noDrug","Pvalue_Rv0827c_DMSO_noDrug","Fold_Rv0827c_DMSO_RIF","Pvalue_Rv0827c_DMSO_RIF"
"transposition",17,0.18976,"3.49e-17",0.07003,"1.00e+00",-0.11973,"3.49e-17"
"inositol or phosphatidylinositol phosphatase activity",2,0.24828,"3.89e-02",-0.13621,"2.79e-01",0.11207,"3.89e-02"
"sodium ion transport",2,0.24187,"1.26e-01",0.1134,"5.41e-01",-0.12847,"1.26e-01"
"DNA integration",29,0.15268,"6.25e-09",0.05533,"1.00e+00",-0.09736,"6.25e-09"
"sulfotransferase activity",3,0.17808,"9.33e-02",0.06565,"1.00e+00",-0.11243,"9.33e-02"
"nitrogen fixation",2,0.15717,"4.41e-02",0.07262,"1.71e-01",-0.08455,"4.41e-02"
"acetyl-CoA C-acetyltransferase activity",4,0.32908,"4.90e-01",0.18091,"4.90e-01",-0.14817,"1.00e+00"
"cellular iron ion homeostasis",2,0.22656,"3.61e-01",0.10319,"3.61e-01",-0.12337,"4.66e-01"
"urease activity",3,0.15869,"1.15e-01",0.0641,"1.60e-01",-0.09459,"1.15e-01"
"ferric iron binding",2,0.22656,"3.61e-01",0.10319,"3.61e-01",-0.12337,"4.66e-01"
"3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity",2,0.13618,"5.32e-02",-0.07256,"5.32e-02",0.06363,"3.44e-01"
"3-isopropylmalate dehydratase activity",2,0.17843,"2.43e-01",0.08616,"2.43e-01",-0.09227,"7.87e-01"
"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen",7,0.13075,"4.19e-02",0.07179,"3.44e-01",-0.05895,"4.19e-02"
"solute:hydrogen antiporter activity",2,0.16642,"2.63e-01",0.08728,"2.63e-01",-0.07914,"1.00e+00"
"molybdate transmembrane-transporting ATPase activity",2,0.13298,"1.65e-01",0.07235,"4.85e-01",-0.06063,"1.65e-01"
"glucose metabolic process",2,0.12873,"9.56e-02",0.06128,"4.08e-01",-0.06745,"9.56e-02"
"glucose-6-phosphate dehydrogenase activity",2,0.12873,"9.56e-02",0.06128,"4.08e-01",-0.06745,"9.56e-02"
"valine metabolic process",3,0.12528,"6.69e-02",0.04476,"4.31e-01",-0.08051,"6.69e-02"
"protein amino acid dephosphorylation",2,0.1845,"5.99e-01",0.08723,"1.00e+00",-0.09727,"5.99e-01"
"tetrapyrrole biosynthetic process",2,0.28447,"1.00e+00",0.17094,"1.00e+00",-0.11353,"1.00e+00"
"protein tyrosine phosphatase activity",3,0.14862,"3.03e-01",0.06287,"1.00e+00",-0.08575,"3.03e-01"
"uroporphyrinogen-III synthase activity",2,0.28447,"1.00e+00",0.17094,"1.00e+00",-0.11353,"1.00e+00"
"cellulase activity",3,0.26799,"1.00e+00",0.10723,"1.00e+00",-0.16076,"1.00e+00"
"copper ion binding",4,0.12046,"2.22e-02",0.06776,"2.22e-02",-0.05269,"7.04e-02"
