"PathName","N_Genes","DeltaFold","BestPvalue","Fold_Rv0827c_DMSO_noDrug","Pvalue_Rv0827c_DMSO_noDrug","Fold_Rv0827c_DMSO_RIF","Pvalue_Rv0827c_DMSO_RIF"
"Ketogenesis and ketolysis",3,0.1516,"5.98e-05",0.08376,"5.98e-05",-0.06783,"7.70e-02"
"Macrophage stimulating protein MSP signaling network map",2,0.27559,"2.28e-01",0.17852,"2.28e-01",-0.09706,"1.00e+00"
"Disorders in ketolysis",2,0.13559,"2.22e-03",0.07832,"2.22e-03",-0.05727,"3.03e-01"
"AMP activated protein kinase signaling",2,0.15109,"1.37e-01",-0.08183,"1.59e-01",0.06926,"1.37e-01"
"ATM signaling in development and disease",2,0.24506,"5.16e-01",0.15571,"5.16e-01",-0.08935,"1.00e+00"
"Eukaryotic transcription initiation",2,0.1587,"4.47e-01",-0.07745,"8.20e-01",0.08125,"4.47e-01"
"Fatty acid transporters",3,0.12951,"4.09e-02",0.05675,"4.10e-02",-0.07275,"4.09e-02"
"mRNA processing",2,0.14558,"4.36e-01",0.08599,"4.36e-01",-0.05959,"9.10e-01"
"Extracellular vesicles in the crosstalk of cardiac cells",2,0.19749,"7.94e-01",0.13673,"7.94e-01",-0.06076,"1.00e+00"
"Apoptosis related network due to altered Notch3 in ovarian cancer",2,0.21785,"1.00e+00",0.13473,"1.00e+00",-0.08312,"1.00e+00"
"Breast cancer pathway",2,0.13211,"2.74e-01",-0.07172,"5.50e-01",0.06038,"2.74e-01"
"Chronic hyperglycemia impairment of neuron function",2,0.12911,"7.68e-02",0.06336,"7.68e-02",-0.06575,"3.21e-01"
"Hippo Merlin signaling dysregulation",2,0.13624,"4.49e-01",0.06708,"1.00e+00",-0.06916,"4.49e-01"
"Pancreatic adenocarcinoma pathway",2,0.13211,"2.74e-01",-0.07172,"5.50e-01",0.06038,"2.74e-01"
"Glucuronidation",2,0.14222,"5.94e-01",0.04183,"1.00e+00",-0.1004,"5.94e-01"
"Type 2 papillary renal cell carcinoma",2,0.12305,"9.34e-02",0.06371,"9.34e-02",-0.05934,"3.66e-01"
"Glucose metabolism in triple negative breast cancer cells",2,0.12214,"1.12e-01",0.06108,"1.12e-01",-0.06106,"2.95e-01"
