GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	Rv0827c_DMSO_RIF	Rv0827c_DMSO_noDrug
Rv3136A	Rv3136A	hypothetical protein	zinc_limitation:21%; hypoxia_rar:10%	0.4221	3.26643969253904e-09	1	1	1	1	1	1	855.72	640.78
Rv3137	Rv3137	histidinol-phosphatase	acidic:19%; zinc_limitation:17%; PBS_RIF_DDmtb:11%	0.4014	8.59874784793395e-08	2.18	2	2	2	2	3	252.34	190.78
PPE50	Rv3135	PPE family protein PPE50	hypoxia_rar:16%; acidic:15%	0.4056	3.37579754097611e-06	3.67	3	3	3	3	7	323.4	244.49
PPE51	Rv3136	PPE family protein PPE51	zinc_limitation:19%; hypoxia_rar:12%	0.3296	3.98296005564207e-09	4.95	8	7	5	4	2	894.42	714.04
rpoB	Rv0667	DNA-directed RNA polymerase subunit beta	PBS_RIF_DDmtb:20%; nutrient_limitation:18%	0.3294	2.27739700172999e-07	6.15	7	8	6	5	5	1959.57	1564.82
ppsC	Rv2933	phthiocerol synthesis polyketide synthase type I PpsC	zinc_limitation:16%; hypoxia_rar:12%; human_sputum:11%	0.2929	5.31867581155942e-10	7.15	11	13	4	6	4	197.27	161.39
rpoC	Rv0668	DNA-directed RNA polymerase subunit beta'	PBS_RIF_DDmtb:21%; nutrient_limitation:19%	0.3125	1.88629419295121e-06	9.12	10	12	9	7	8	1251.77	1011.26
ppsD	Rv2934	phthiocerol synthesis polyketide synthase type I PpsD	zinc_limitation:13%; hypoxia_rar:10%; microaerophilic:10%	0.2828	1.96715101018557e-07	10.3	16	17	7	8	6	88.29	72.6
MT3223	MT3223	hypothetical protein	zinc_limitation:28%; butyrate_plus_glucose:12%; tyloxopol:11%	0.4139	0.00427455518584812	11.27	5	9	15	11	19	365.36	275.84
Rv2805	Rv2805	hypothetical protein	hypoxia_late:29%	0.3922	0.00920044969487144	13.2	4	4	18	19	31	87.79	65.97
PE25	Rv2431c	PE family protein PE25	acidic:10%	0.2987	0.000480972357366059	11.93	13	15	12	10	10	425.9	347.18
fadD26	Rv2930	fatty-acid--CoA ligase FadD26	zinc_limitation:18%; hypoxia_rar:13%	0.2782	6.81130366670318e-06	14.36	18	21	17	9	9	540.35	447.09
Rv0531	Rv0531	membrane protein	hypoxia_late:18%	0.2798	0.00149172223328574	15.48	19	18	13	12	16	299.8	247.35
mpr17	Rvnc0017	fragment of putative small regulatory RNA	high_iron:10%	0.4099	0.0278755938709265	22.18	6	6	14	46	66	183.16	137.8
vapB26	Rv0581	antitoxin VapB26	ctl_exponential:12%; ctl_stationary:11%	0.2667	0.00135217108535935	18.21	23	20	8	18	25	442.38	368.76
PPE41	Rv2430c	PPE family protein PPE41	nutrient_limitation:14%	0.2551	0.000196120710436885	19.43	26	23	23	14	13	509.04	428.1
ppsA	Rv2931	phthiocerol synthesis polyketide synthase type I PpsA	zinc_limitation:16%; hypoxia_rar:12%; human_sputum:10%	0.2469	1.16308124061501e-05	19.39	27	24	25	13	11	181.17	153.06
Rv3123	Rv3123	hypothetical protein	zinc_limitation:22%	0.2986	0.0106161874744235	25.84	14	26	42	24	27	189.39	153.24
Rv0530	Rv0530	hypothetical protein	zinc_limitation:12%	0.2347	1.12288827859862e-05	21.35	30	27	22	16	14	447.21	381.31
pks1	Rv2946c	polyketide synthase	acidic:13%; high_iron:10%	0.2313	6.29861099592331e-07	21.08	33	28	21	15	12	294.23	251.37
Rv2960c	Rv2960c	hypothetical protein	hypoxia_rar:12%	0.2791	0.0147065229158825	27.28	20	22	28	33	35	254.44	209.24
Rv3524	Rv3524	membrane protein	zinc_limitation:16%	0.2381	8.79402207993973e-05	22.93	31	30	24	17	15	387.48	329.79
Rv1374c	Rv1374c	hypothetical protein	hypoxia_rar:13%; acidic_tyloxopol:11%	0.2606	0.00317689558187638	27.51	24	32	47	22	17	496.01	414
Rv0387c	Rv0387c	conserved hypothetical protein	hypoxia_late:29%	0.2912	0.0220588194897567	29.95	17	19	26	38	58	57.11	46.24
Rv2090	Rv2090	5'-3' exonuclease	hypoxia_late:10%	0.24	0.00101925570681915	23.88	28	25	27	20	20	149.03	126.25
ppsB	Rv2932	phthiocerol synthesis polyketide synthase type I PpsB	zinc_limitation:12%; human_sputum:12%; hypoxia_rar:12%	0.2183	0.000264522847931634	28.75	39	37	32	21	18	90.14	77.45
MT0697	MT0697	hypothetical protein	PBS_RIF_DDmtb:22%; nutrient_limitation:10%	0.2486	0.0149096673908982	32.36	29	36	31	32	34	201.54	170.37
rpsR1	Rv0055	30S ribosomal protein S18	zinc_limitation:21%; hypoxia_rar:13%	0.2301	0.00178966694302487	28.83	36	31	29	23	26	716.35	612.94
MT0725	MT0725	hypothetical protein	hypoxia_hypoxic:10%	0.3485	0.0900501754060468	39.9	12	5	11	81	184	152.65	118.68
