GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	Rv0827c_ATC_RIF	Rv0827c_DMSO_RIF
kmtR	Rv0827c	HTH-type transcriptional regulator KmtR	butyrate:26%; hypoxia_fatty_acids:10%; cholesterol:10%	4.1476	6.09428633282295e-112	1	1	1	1	1	1	3845.63	213.63
recA	Rv2737c	recombinase A	zinc_limitation:36%	0.7905	1.26041129826821e-17	3.84	5	9	3	2	2	723.78	414.63
Rv2025c	Rv2025c	cation efflux system protein	butyrate:26%; ctl_stationary:17%; hypoxia_late:16%; hypoxia_fatty_acids:12%	0.9164	9.46060791471245e-10	4.44	2	3	2	3	18	62.91	32.37
Rv2886c	Rv2886c	resolvase	hypoxia_late:24%; human_sputum:13%	0.8061	1.99127828414171e-11	6.33	6	6	5	6	9	158.86	89.41
recX	Rv2736c	regulatory protein RecX	zinc_limitation:20%	0.7612	3.70278959369969e-13	6.63	8	10	7	5	4	367.7	214.62
Rv2165c	Rv2165c	rRNA small subunit methyltransferase H	microaerophilic:16%	0.7295	2.96447486576925e-16	6.93	11	13	4	4	5	266.25	158.72
Rv1277	Rv1277	hypothetical protein	zinc_limitation:26%; hypoxia_late:10%	0.7389	7.86867179815781e-13	9.19	9	14	11	7	6	204.29	120.86
Rv2719c	Rv2719c	membrane protein	zinc_limitation:26%; hypoxia_late:16%	0.7752	2.68587218697445e-10	9.88	7	11	12	8	12	352.62	203.75
Rv1697	Rv1697	hypothetical protein	high_iron:14%; INDIGO_exponential:13%; tyloxopol:11%	0.6958	1.95648577444832e-19	11.45	16	21	13	9	3	856.98	524.45
mraZ	Rv2166c	transcriptional regulator MraZ	hypoxia_hypoxic:14%	0.7057	1.41317705082374e-13	13.75	15	20	15	10	10	651.98	395.75
sepF	Rv2147c	cell division protein SepF	tyloxopol:11%; high_iron:10%	0.6815	3.32463562043247e-18	13.58	19	23	10	12	7	1141.04	705.37
Rv0883c	Rv0883c	hypothetical protein	hypoxia_late:9%	0.7449	3.20798807194367e-09	15.45	10	18	24	13	14	206.56	121.72
lipQ	Rv2485c	carboxylesterase LipQ	hypoxia_late:16%; butyrate:12%	0.7418	4.1155110148482e-09	15.27	14	16	19	11	17	100.24	58.94
Rv2735c	Rv2735c	hypothetical protein	PBS_RIF_DDmtb:15%; hypoxia_late:13%; zinc_limitation:13%	0.8816	3.33872468496063e-07	11.49	3	5	8	21	31	65.16	34.38
Rv0996	Rv0996	transmembrane protein	microaerophilic:19%	0.6767	2.38038528049913e-17	16.46	20	25	18	14	8	579.39	359.09
Rv1043c	Rv1043c	hypothetical protein	INDIGO_exponential:9%	0.7338	1.38981857456751e-08	18	13	17	22	16	23	109.67	64.71
Rv3267	Rv3267	hypothetical protein	human_sputum:11%	0.6601	3.95344575813418e-16	18.4	22	31	16	15	11	467.11	292.86
ruvA	Rv2593c	Holliday junction ATP-dependent DNA helicase RuvA	zinc_limitation:15%; PBS_RIF_DDmtb:12%; hypoxia_late:11%	0.6978	6.13321713127148e-09	19.74	18	24	20	18	19	270.14	164.59
Rv3828c	Rv3828c	resolvase	hypoxia_late:16%; zinc_limitation:14%	0.7356	2.2023597845959e-07	19.82	12	15	23	20	32	145.66	85.92
