GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	Rv1473A_ATC_RIF	Rv1473A_DMSO_RIF
Rv1473A	Rv1473A	transcriptional regulator	PBS_RIF_DDmtb:10%	3.8149	3.19757366823365e-124	1	1	1	1	1	1	2674.41	172.13
groES	Rv3418c	chaperonin GroES	acidic_tyloxopol:12%; hypoxia_fatty_acids:12%	2.042	1.60759360289964e-108	2.38	2	2	3	3	2	9434.1	2114.21
groEL2	Rv0440	molecular chaperone GroEL	acidic_tyloxopol:13%; hypoxia_fatty_acids:11%	1.9866	2.54019219226457e-123	2.58	3	3	2	2	3	6143.71	1431.44
groEL1	Rv3417c	chaperonin GroEL	microaerophilic:22%; hypoxia_fatty_acids:13%	1.5771	1.8000011829767e-98	4	4	4	4	4	4	993.6	306.82
ahpC	Rv2428	alkyl hydroperoxide reductase subunit AhpC	zinc_limitation:27%; hypoxia_rar:10%; hypoxia_hypoxic:10%	1.396	1.57913785150483e-38	5.19	5	5	5	5	6	282.18	97.76
Rv1592c	Rv1592c	hypothetical protein	ctl_stationary:13%	1.1375	2.28608933343426e-43	6.37	7	7	7	6	5	746.38	312.61
Rv0991c	Rv0991c	hypothetical protein	ctl_stationary:21%; hypoxia_fatty_acids:20%; microaerophilic:10%	1.3148	4.69715155175662e-27	6.75	6	6	6	7	9	280.49	102.5
PPE33	Rv1809	PPE family protein PPE33	acidic:20%; acidic_tyloxopol:14%; zinc_limitation:11%	1.0659	1.55026702125483e-24	8.98	8	9	10	8	10	110.91	48.06
grpE	Rv0351	stress response protein GrpE	hypoxia_fatty_acids:17%; microaerophilic:16%	0.978	1.7416450538954e-42	9.69	11	13	9	9	7	1569.88	736.24
Rv2699c	Rv2699c	hypothetical protein	ctl_stationary:15%; hypoxia_fatty_acids:14%	1.0589	1.32188055257293e-17	10.65	10	10	8	10	16	260.32	114.02
dnaK	Rv0350	chaperone protein DnaK	hypoxia_fatty_acids:23%; microaerophilic:15%	0.9402	1.48275167239667e-30	11.85	13	16	12	11	8	1429.5	688.51
MT1627	MT1627	hypothetical protein	tyloxopol:10%	1.0469	1.93476418744816e-16	12.31	9	12	14	12	15	1210.87	539.55
trxB1	Rv1471	thioredoxin	hypoxia_fatty_acids:21%	1.0299	8.25881591976915e-14	13.96	12	11	13	13	22	194.89	86.93
katG	Rv1908c	catalase-peroxidase	zinc_limitation:35%	0.7491	5.24274772920807e-25	16.77	20	20	20	14	11	631.77	346.35
Rv1463	Rv1463	ABC transporter ATP-binding protein	low_iron:28%; zinc_limitation:17%	0.7453	4.83305338946766e-19	17.27	21	21	16	15	14	276.45	151.67
rpfE	Rv2450c	resuscitation-promoting factor RpfE	hypoxia_rar:25%; zinc_limitation:20%; hypoxia_late:12%	0.8729	4.28413717142286e-15	17.72	15	18	22	16	18	362.8	181.55
htpG	Rv2299c	chaperone protein HtpG	tyloxopol:8%	0.7146	2.68370891220576e-23	19.7	23	25	18	22	12	255.44	143.27
Rv2451	Rv2451	hypothetical protein	hypoxia_rar:24%; human_sputum:15%; hypoxia_late:10%	0.8583	1.46843455793704e-11	21.9	18	19	24	18	32	253.46	127.76
sigE	Rv1221	ECF RNA polymerase sigma factor SigE	hypoxia_fatty_acids:15%	0.7115	9.98290396810259e-15	24.23	24	29	29	21	19	304.08	171.17
dnaJ1	Rv0352	chaperone protein DnaJ	microaerophilic:16%; hypoxia_fatty_acids:13%	0.6611	8.79859044465277e-30	27.59	28	32	19	54	13	1050.93	614.12
PPE32	Rv1808	PPE family protein PPE32	acidic:31%; acidic_tyloxopol:11%	0.7698	6.34241480013285e-11	22.49	22	22	17	17	37	61.24	32.53
MT2637.1	MT2637.1	hypothetical protein	hypoxia_late:24%; tyloxopol:18%	0.924	3.57104017896804e-09	22.17	17	14	11	19	64	100.24	47.56
hisG	Rv2121c	ATP phosphoribosyltransferase	hypoxia_late:20%; low_iron:15%	0.9887	1.01132777332382e-08	23.84	14	15	21	20	60	38.55	17.01
Rv3788	Rv3788	hypothetical protein	hypoxia_late:13%	0.9145	2.03327812280899e-09	24.69	16	17	28	23	44	150.55	72.58
esxD	Rv3891c	ESAT-6 like protein EsxD	acidic:11%; hypoxia_rar:11%	0.7118	3.65207996140352e-11	26.58	25	26	25	28	29	455.24	255.58
fadE15	Rv1467c	acyl-CoA dehydrogenase FadE15	PBS_RIF_DDmtb:15%; low_iron:13%	0.6648	6.76266431034169e-12	31	30	31	26	41	28	75.81	43.59
Rv2962c	Rv2962c	PGL/p-HBAD biosynthesis rhamnosyltransferase	hypoxia_late:14%; ctl_stationary:10%	0.7073	4.52280514593792e-10	29.43	26	28	31	25	38	78.39	43.72
Rv0197	Rv0197	oxidoreductase	hypoxia_late:18%	0.6712	9.1439844889667e-11	34.44	29	36	43	32	33	69.06	39.62
pra	Rv1078	hypothetical protein	tyloxopol:10%; ctl_exponential:10%	0.6211	3.12644996306742e-17	47.56	35	38	41	141	17	1029.92	617.24
mpr11	Rvnc0015	fragment of putative small regulatory RNA	hypoxia_late:18%; ctl_exponential:12%	1.1534	6.41354149516041e-06	29.07	19	8	15	24	121	120.85	47.06
MT1040.1	MT1040.1	hypothetical protein	hypoxia_hypoxic:10%	0.6365	4.12361168968925e-12	40.43	34	37	27	90	27	557.1	330.38
csd	Rv1464	cysteine desulfurase	low_iron:26%; zinc_limitation:18%	0.6083	1.6979643500848e-16	50.56	41	45	42	132	20	370.49	224.29
Rv2028c	Rv2028c	universal stress protein	cholesterol:17%; hypoxia_hypoxic:16%; ctl_stationary:13%	0.6864	1.20595146583121e-07	36.94	31	30	33	30	66	70.82	40.06
esxC	Rv3890c	ESAT-6 like protein EsxC	hypoxia_rar:10%	0.6602	8.45961767698321e-09	46.13	32	34	49	73	48	433.44	252.21
mtn	Rv0091	bifunctional 5'-methylthioadenosine nucleosidase	hypoxia_late:20%; ctl_stationary:10%	0.7191	2.21446409818524e-06	37.54	33	27	23	26	96	38.14	20.72
Rv1050	Rv1050	oxidoreductase	hypoxia_late:50%; human_sputum:10%	0.7683	7.56240852535053e-06	39.71	27	23	34	27	110	28.35	14.61
fabG3	Rv2002	20-beta-hydroxysteroid dehydrogenase	hypoxia_late:11%	0.6537	3.40604815784076e-08	42.9	38	33	30	59	59	89.59	51.94
