GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	Rv0494_DMSO_RIF	Rv0494_DMSO_noDrug
iniC	Rv0343	iIsoniazid inductible protein IniC	hypoxia_rar:11%	0.7164	1.95476922750841e-18	1.36	2	2	1	1	1	260.82	158.89
iniA	Rv0342	isoniazid inductible protein IniA	hypoxia_rar:22%	0.7968	1.74284631068679e-08	2.94	1	1	2	2	14	410.76	236.84
ppsC	Rv2933	phthiocerol synthesis polyketide synthase type I PpsC	zinc_limitation:16%; hypoxia_rar:12%; human_sputum:11%	0.5466	9.63637183702617e-11	3.89	4	6	4	4	2	398.31	273.42
mobA	Rv2453c	molybdenum cofactor guanylyltransferase	low_iron:12%	0.5297	6.97624695197361e-10	5.06	6	8	5	3	4	212.72	147.44
ppsD	Rv2934	phthiocerol synthesis polyketide synthase type I PpsD	zinc_limitation:13%; hypoxia_rar:10%; microaerophilic:10%	0.5463	2.0813753987447e-09	6.01	5	9	7	7	3	371.78	255.24
lpqJ	Rv0344c	lipoprotein LpqJ	hypoxia_late:18%	0.6208	4.87748160977389e-07	5.23	3	3	3	5	16	61.65	39.66
Rv2694c	Rv2694c	hypothetical protein	hypoxia_fatty_acids:27%; ctl_stationary:18%	0.5271	1.60469656813299e-08	6.39	7	7	6	6	6	270.78	188.12
Rv2372c	Rv2372c	rRNA small subunit methyltransferase E	PBS_RIF_DDmtb:11%; microaerophilic:10%	0.4748	4.21102498312525e-09	8.8	9	13	10	8	5	328.83	237.25
ppsA	Rv2931	phthiocerol synthesis polyketide synthase type I PpsA	zinc_limitation:16%; hypoxia_rar:12%; human_sputum:10%	0.4534	1.35489395596153e-07	10.44	11	15	11	9	7	377.23	276.28
fadD26	Rv2930	fatty-acid--CoA ligase FadD26	zinc_limitation:18%; hypoxia_rar:13%	0.4292	7.4480599364605e-08	12.35	15	18	12	10	8	821.91	612.62
MT0697	MT0697	hypothetical protein	PBS_RIF_DDmtb:22%; nutrient_limitation:10%	0.4796	8.85438385700821e-06	12.66	8	14	14	13	15	453.71	326.39
ppsB	Rv2932	phthiocerol synthesis polyketide synthase type I PpsB	zinc_limitation:12%; human_sputum:12%; hypoxia_rar:12%	0.4365	1.72677899970379e-06	15.37	13	21	19	14	11	208.3	154.23
Rv1073	Rv1073	hypothetical protein	PBS_RIF_DDmtb:16%; nutrient_limitation:10%	0.4161	6.88647060117403e-08	14.14	18	20	13	11	10	482.16	362.5
korA	Rv2455c	2-oxoglutarate oxidoreductase subunit KorA	zinc_limitation:12%	0.3903	2.10295920925306e-09	16.41	22	26	16	12	9	486.91	372.65
korB	Rv2454c	2-oxoglutarate oxidoreductase subunit KorB	zinc_limitation:11%	0.3872	1.51707145358514e-08	19.71	26	28	20	15	12	431.23	330.68
fxsA	Rv2053c	transmembrane protein FxsA	hypoxia_fatty_acids:18%	0.4107	5.79644145192894e-06	21.53	20	29	26	17	17	385.59	290.96
ldtA	Rv0116c	L,D-transpeptidase LdtA	acidic:14%	0.3965	9.11338157358355e-06	20.62	23	27	18	16	20	135.18	102.76
MT2113	MT2113	hypothetical protein	hypoxia_fatty_acids:17%	0.4054	7.85363136571956e-06	23.6	21	32	31	18	18	368.11	278.77
trxB1	Rv1471	thioredoxin	hypoxia_fatty_acids:21%	0.4684	0.000263273160081701	21.53	10	16	28	25	33	125.31	90.27
metE	Rv1133c	5-methyltetrahydropteroyltriglutamate-- homocysteine methyltransferase	microaerophilic:14%	0.4339	7.66614640575412e-05	22.17	14	25	33	20	21	2546.57	1892.24
katG	Rv1908c	catalase-peroxidase	zinc_limitation:35%	0.3667	1.98564764955662e-08	24.98	36	34	27	19	13	487.63	379.39
Rv2052c	Rv2052c	hypothetical protein	microaerophilic:18%; hypoxia_fatty_acids:12%	0.3874	7.86936679844987e-06	27.2	27	36	34	22	19	291.18	223.24
furA	Rv1909c	ferric uptake regulation protein FurA	zinc_limitation:14%; human_sputum:13%; hypoxia_fatty_acids:11%	0.4221	0.000331984633136275	24.12	19	23	17	23	42	92.29	68.85
Rv0045c	Rv0045c	hydrolase	PBS_RIF_DDmtb:10%	0.3724	1.85222962574121e-05	28.1	32	35	32	21	22	122.88	94.96
Rv2041c	Rv2041c	sugar ABC transporter substrate-binding lipoprotein	hypoxia_late:13%	0.3765	0.00017436655524335	31.18	34	33	25	26	39	41.49	31.79
ctpV	Rv0969	copper-exporting ATPase	microaerophilic:68%; hypoxia_fatty_acids:11%	0.4232	0.000738621920409776	33.32	16	30	36	24	72	193.34	144.44
rpoB	Rv0667	DNA-directed RNA polymerase subunit beta	PBS_RIF_DDmtb:20%; nutrient_limitation:18%	0.3684	8.74485135979736e-05	34.37	33	44	37	27	32	1929.55	1500.34
ppsE	Rv2935	phthiocerol synthesis polyketide synthase type I PpsE	hypoxia_rar:10%	0.3487	4.09540358713902e-05	38.33	42	51	47	30	25	468.27	368.96
Rv0196	Rv0196	HTH-type transcriptional regulator	hypoxia_late:19%; ctl_stationary:11%; human_sputum:10%; INDIGO_exponential:10%	0.4457	0.00240671222551522	35.35	17	22	38	40	71	40.55	29.46
Rv3137	Rv3137	histidinol-phosphatase	acidic:19%; zinc_limitation:17%; PBS_RIF_DDmtb:11%	0.3259	3.23101250022958e-06	38.55	56	50	41	28	23	308.01	246.4
yrbE4B	Rv3500c	integral membrane protein	hypoxia_late:15%	0.386	0.000698912803811613	39.02	28	42	51	35	41	79.76	60.89
Rv1057	Rv1057	hypothetical protein	nutrient_limitation:32%; hypoxia_rar:15%	0.3638	0.000264193712206899	40.73	37	48	50	33	37	91.9	71.44
mce3C	Rv1968	Mce family protein Mce3C	hypoxia_late:28%; ctl_stationary:14%; PBS_RIF_DDmtb:11%	0.521	0.00502435672970402	36.68	12	17	22	51	118	6.85	4.36
Rv1647	Rv1647	adenylate cyclase	PBS_RIF_DDmtb:18%	0.352	0.000345586904920197	38.74	41	45	35	29	45	67.65	52.94
ctpC	Rv3270	manganese/zinc-exporting P-type ATPase	hypoxia_fatty_acids:28%; butyrate:22%; PBS_RIF_DDmtb:13%	0.3168	2.79562415853482e-06	41.31	59	53	45	31	24	627.13	505.26
Rv2699c	Rv2699c	hypothetical protein	ctl_stationary:15%; hypoxia_fatty_acids:14%	0.3901	0.00156031661689741	40.95	29	37	46	36	60	131.43	100.15
Rv0669c	Rv0669c	neutral ceramidase	PBS_RIF_DDmtb:43%	0.3382	0.000108751615465779	44.31	48	55	56	38	28	210.47	166.92
MT3223	MT3223	hypothetical protein	zinc_limitation:28%; butyrate_plus_glucose:12%; tyloxopol:11%	0.3715	0.00113655812911617	43.37	38	41	44	39	56	481.92	372.81
ahpC	Rv2428	alkyl hydroperoxide reductase subunit AhpC	zinc_limitation:27%; hypoxia_rar:10%; hypoxia_hypoxic:10%	0.401	0.00196594957526332	45.96	24	47	63	54	47	121.37	91.69
cydD	Rv1621c	cytochrome biosyntheisis ABC transporter ATP-binding protein/permease CydD	hypoxia_late:15%	0.3084	7.30833562732717e-06	44.86	66	59	48	32	26	196.7	159.24
MTS2255	MTS2255	small intergenic RNA	human_sputum:17%; hypoxia_rar:12%; zinc_limitation:12%	0.3114	1.51546180962586e-05	45.84	64	58	52	34	27	820.04	663.24
Rv1132	Rv1132	hypothetical protein	PBS_RIF_DDmtb:13%	0.3326	0.000189338318143323	49.07	52	57	62	43	34	449.89	358.42
helY	Rv2092c	ATP-dependent DNA helicase HelY	cholesterol:9%	0.316	4.32608698083142e-05	49.65	62	65	55	41	30	344.94	277.96
Rv1842c	Rv1842c	hypothetical protein	zinc_limitation:8%	0.3188	0.000100117740785752	52.71	61	67	59	45	35	331.26	266.43
Rv2943A	Rv2943A	transposase	hypoxia_late:17%; acidic_tyloxopol:10%	0.3932	0.00356341274813745	49.65	35	38	40	48	98	47.59	36.01
Rv0813c	Rv0813c	hypothetical protein	low_iron:10%	0.303	1.36348819794485e-05	49.74	69	62	49	37	36	369.6	300.52
MT0717.1	MT0717.1	hypothetical protein	ctl_stationary:21%	0.3576	0.00231491345440434	48.55	47	43	23	42	103	109.03	85.01
murF	Rv2157c	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase	microaerophilic:46%	0.3269	0.000221147628066235	54.19	57	66	67	46	38	203.8	162.87
PE_PGRS34	Rv1840c	PE-PGRS family protein PE_PGRS34	hypoxia_late:29%; microaerophilic:24%	0.3375	0.00101566095055311	53.98	51	61	64	49	46	67.57	53.45
