GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	Rv0827c_ATC_noDrug	Rv0827c_DMSO_noDrug
kmtR	Rv0827c	HTH-type transcriptional regulator KmtR	butyrate:26%; hypoxia_fatty_acids:10%; cholesterol:10%	3.5327	1.09971471243551e-44	1.17	1	1	1	1	2	3708.38	292.27
Rv2719c	Rv2719c	membrane protein	zinc_limitation:26%; hypoxia_late:16%	0.8035	9.58569776517614e-27	2.13	3	3	2	2	1	393.73	208.68
recA	Rv2737c	recombinase A	zinc_limitation:36%	0.7766	1.76416384594607e-19	4.12	5	6	3	4	3	793.32	429.74
mraZ	Rv2166c	transcriptional regulator MraZ	hypoxia_hypoxic:14%	0.7836	9.36482406053669e-17	4.39	4	4	5	5	4	653.44	350.58
Rv2165c	Rv2165c	rRNA small subunit methyltransferase H	microaerophilic:16%	0.7643	7.91976140735149e-16	6.53	6	5	9	7	6	272.95	148.23
Rv0605	Rv0605	resolvase	zinc_limitation:35%	0.7249	1.55147197324332e-17	8.57	10	9	4	18	5	383.5	214.65
ruvB	Rv2592c	Holliday junction ATP-dependent DNA helicase RuvB	PBS_RIF_DDmtb:15%	0.7341	8.49351055271421e-15	9.79	8	8	10	16	8	271.66	150.88
recX	Rv2736c	regulatory protein RecX	zinc_limitation:20%	0.7139	2.24704730012798e-15	11.5	13	11	6	21	9	386.34	218.19
Rv1277	Rv1277	hypothetical protein	zinc_limitation:26%; hypoxia_late:10%	0.6962	1.05165255094476e-13	18.08	14	13	14	45	12	224.67	128.01
Rv2033c	Rv2033c	hypothetical protein	hypoxia_late:23%; hypoxia_hypoxic:11%	0.6554	3.26133868168428e-16	22.22	17	17	8	97	7	263.28	154.32
Rv3202c	Rv3202c	ATP-dependent DNA helicase	hypoxia_late:23%; zinc_limitation:22%; microaerophilic:10%	0.8464	1.26409289420989e-08	12.41	2	2	12	3	92	112.5	57.23
Rv2979c	Rv2979c	resolvase	zinc_limitation:45%	0.6498	2.83610388773217e-15	25.31	19	19	7	113	10	329.14	193.69
Rv3201c	Rv3201c	ATP-dependent DNA helicase	hypoxia_late:26%; zinc_limitation:20%	0.6561	5.91862795673824e-12	31.34	18	21	28	100	15	77.3	44.89
Rv2164c	Rv2164c	hypothetical protein	microaerophilic:20%	0.769	8.66266352795693e-07	21.94	7	7	25	6	114	358.25	194.33
Rv2025c	Rv2025c	cation efflux system protein	butyrate:26%; ctl_stationary:17%; hypoxia_late:16%; hypoxia_fatty_acids:12%	0.7243	7.95252248815185e-09	27.69	11	12	34	43	51	56.3	30.72
pbpB	Rv2163c	penicillin-binding membrane protein PbpB	low_iron:10%	0.6042	2.83761286427405e-14	37.99	24	25	17	174	13	348.71	212.5
ftsK	Rv2748c	DNA translocase FtsK	high_iron:10%	0.6111	2.5967250163947e-13	38.82	20	22	23	181	14	571.79	346.54
ruvA	Rv2593c	Holliday junction ATP-dependent DNA helicase RuvA	zinc_limitation:15%; PBS_RIF_DDmtb:12%; hypoxia_late:11%	0.7287	8.85496232981006e-07	29.14	9	10	27	29	105	304.31	169.49
Rv3267	Rv3267	hypothetical protein	human_sputum:11%	0.6772	3.22885266486865e-08	34.13	16	16	18	70	74	511.63	296.03
fbpC	Rv0129c	diacylglycerol acyltransferase/mycolyltransferase Ag85C	hypoxia_hypoxic:13%; tyloxopol:11%; hypoxia_rar:10%	0.5902	5.91350834632232e-15	41.88	28	29	15	210	11	1805.48	1112.37
ruvC	Rv2594c	crossover junction endodeoxyribonuclease RuvC	zinc_limitation:21%	0.6809	1.30409916805231e-07	37.71	15	15	21	79	90	652.75	376.46
Rv2886c	Rv2886c	resolvase	hypoxia_late:24%; human_sputum:13%	0.6245	2.94224509524644e-10	39.67	21	24	26	135	28	167.33	100.18
Rv2864c	Rv2864c	penicillin-binding lipoprotein	hypoxia_late:18%	0.6027	8.76914231866206e-11	48.84	26	28	37	187	23	163.61	99.44
Rv0996	Rv0996	transmembrane protein	microaerophilic:19%	0.6975	5.11068531523994e-06	41.68	12	14	38	64	119	605.03	344.62
MT2316	MT2316	hypothetical protein	ctl_stationary:13%	0.6142	2.84999106012957e-09	49.55	25	23	31	196	34	565.19	340.99
Rv1148c	Rv1148c	hypothetical protein	zinc_limitation:23%; hypoxia_late:12%	0.5648	7.27919902417102e-12	52.45	32	35	16	265	19	123	76.68
Rv1278	Rv1278	hypothetical protein	hypoxia_late:17%; zinc_limitation:17%	0.5843	1.50174426685043e-11	54.38	29	32	39	239	17	192.96	118.86
Rv0606	Rv0606	transposase	zinc_limitation:33%	0.5963	3.08914039384083e-10	52.74	27	30	35	211	27	303.75	185.72
MT1479.1	MT1479.1	hypothetical protein	ctl_exponential:17%; hypoxia_hypoxic:12%	0.5718	2.2430932765732e-11	52.94	36	33	13	257	25	657.48	409.84
Rv1945	Rv1945	hypothetical protein	zinc_limitation:24%; hypoxia_late:13%	0.5642	2.15305434573662e-11	57.35	35	37	20	279	22	119.17	74.26
mctB	Rv1698	copper transporter MctB	INDIGO_exponential:12%; high_iron:11%; tyloxopol:10%	0.5701	1.55438328538425e-10	63.03	30	36	43	281	24	405.64	253.01
Rv0430	Rv0430	hypothetical protein	ctl_exponential:19%	0.5547	1.37054465929605e-11	64.32	38	38	24	347	18	744.92	469.39
Rv1697	Rv1697	hypothetical protein	high_iron:14%; INDIGO_exponential:13%; tyloxopol:11%	0.56	5.90758024689586e-11	66.67	34	40	42	310	21	893.32	561.87
sepF	Rv2147c	cell division protein SepF	tyloxopol:11%; high_iron:10%	0.6119	1.66595025071113e-06	63.24	23	27	41	176	102	1160.8	704.25
