GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	Rv0827c_DMSO_noDrug	EV_DMSO_noDrug
prpC	Rv1131	methylcitrate synthase PrpC	human_sputum:22%; hypoxia_fatty_acids:16%; PBS_RIF_DDmtb:15%; acidic_tyloxopol:14%; nutrient_limitation:11%	1.7485	2.48767681141879e-17	1.56	2	1	1	2	2	51.74	14.63
Rv0516c	Rv0516c	anti-anti-sigma factor	butyrate:17%	1.2931	3.38815849577303e-29	2.54	5	4	3	1	1	824.13	339.48
MT3949	MT3949	fragment of putative small regulatory RNA	butyrate:21%; cholesterol:21%	1.0506	1.33691421950558e-17	5.01	8	6	6	3	3	1966.49	959.13
PE_PGRS49	Rv3344c	PE-PGRS family protein PE_PGRS49	hypoxia_late:54%	0.8995	7.91235501720021e-10	9.37	11	9	10	8	9	40.22	21.25
glpQ1	Rv3842c	glycerophosphoryl diester phosphodiesterase	cholesterol:18%; butyrate:16%	0.8133	1.60504395181743e-12	9.61	14	12	13	6	5	1224.57	704.92
bfrB	Rv3841	bacterioferritin BfrB	cholesterol:26%; butyrate:11%	0.8454	1.71161277871812e-10	9.88	12	11	12	7	8	7314.51	4118.51
MT1178	MT1178	hypothetical protein	butyrate:32%; acidic_tyloxopol:15%; butyrate_plus_glucose:12%	0.7933	1.69104913174257e-13	10.03	17	13	15	5	4	1036.65	604.47
kmtR	Rv0827c	HTH-type transcriptional regulator KmtR	butyrate:26%; hypoxia_fatty_acids:10%; cholesterol:10%	1.3967	4.47187868442258e-08	10.27	4	5	5	4	57	292.27	111.44
Rv0263c	Rv0263c	hypothetical protein	butyrate:12%	0.7589	1.63865112965029e-11	13.49	19	16	19	9	7	152.31	90.56
prpD	Rv1130	methylcitrate dehydratase PrpD	hypoxia_fatty_acids:21%; PBS_RIF_DDmtb:20%; human_sputum:17%; nutrient_limitation:12%; acidic_tyloxopol:11%	1.762	1.65172357442338e-06	14.21	1	2	2	11	137	42.64	11.8
