GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	EV_ATC_RIF	EV_DMSO_RIF
Rv3094c	Rv3094c	hypothetical protein	high_iron:17%; hypoxia_late:12%; INDIGO_exponential:10%	0.9009	5.87478674626501e-10	1.36	1	2	1	1	2	94.19	48.12
rpfE	Rv2450c	resuscitation-promoting factor RpfE	hypoxia_rar:25%; zinc_limitation:20%; hypoxia_late:12%	0.8591	6.88148466922489e-10	2.29	2	3	4	2	1	370.17	196.92
Rv2451	Rv2451	hypothetical protein	hypoxia_rar:24%; human_sputum:15%; hypoxia_late:10%	0.8009	9.57962857271689e-08	3.19	3	4	3	3	3	266.47	147.24
Rv0196	Rv0196	HTH-type transcriptional regulator	hypoxia_late:19%; ctl_stationary:11%; human_sputum:10%; INDIGO_exponential:10%	0.7961	1.60370642113927e-05	4.08	4	5	2	4	6	72.83	39.59
Rv1503c	Rv1503c	conserved hypothetical protein	hypoxia_late:17%; ctl_stationary:13%	0.8261	0.00133142519955197	8.05	5	8	5	7	18	32.76	16.77
Rv3093c	Rv3093c	oxidoreductase	high_iron:18%; hypoxia_late:11%	0.6805	4.55504463858891e-05	8.38	6	15	12	6	5	103.98	62.22
Rv0197	Rv0197	oxidoreductase	hypoxia_late:18%	0.6169	7.64903608443692e-06	8.54	7	17	13	5	4	83.06	52.03
vapB15	Rv2009	antitoxin VapB15	INDIGO_exponential:16%; tyloxopol:13%	0.5396	0.00029954223100088	14.31	11	22	21	10	10	542.2	361.54
icl1	Rv0467	isocitrate lyase	nutrient_limitation:38%; hypoxia_fatty_acids:11%; human_sputum:11%	0.5128	2.67159958918999e-05	14.98	17	32	14	9	8	218.24	148.48
pntB	Rv0157	NAD(P) transhydrogenase subunit beta PntB	tyloxopol:10%	0.5066	3.10401412016189e-06	13.61	16	26	15	8	7	506.66	346.2
MT2779	MT2779	hypothetical protein	human_sputum:14%; hypoxia_fatty_acids:13%	0.5113	0.000155019819599282	16.97	13	29	28	11	9	1479.66	1007.63
Rv0246	Rv0246	integral membrane protein	human_sputum:12%	0.5182	0.000316594556264993	17.9	12	27	31	12	12	123.13	82.96
Rv2706c	Rv2706c	hypothetical protein	human_sputum:13%; butyrate:11%; hypoxia_fatty_acids:11%	0.5132	0.000280032596870546	19.77	14	31	36	13	11	855.35	581.18
MT2330.1	MT2330.1	hypothetical protein	hypoxia_late:16%; hypoxia_hypoxic:10%; ctl_stationary:10%	0.8922	0.0145766655146435	25.11	10	7	34	28	66	57.57	27.42
tesA	Rv2928	thioesterase TesA	ctl_exponential:13%; hypoxia_late:10%; human_sputum:10%	0.5082	0.00152037172819184	27.34	15	42	67	16	13	223.21	151.72
Rv2269c	Rv2269c	hypothetical protein	hypoxia_late:22%; ctl_stationary:10%	0.8535	0.0144800964915586	25.62	9	9	37	30	60	34.83	16.91
Rv1780	Rv1780	hypothetical protein	INDIGO_exponential:9%	0.4668	0.000579637442426394	23.33	21	38	32	15	15	258.93	181.33
Rv0236A	Rv0236A	hypothetical protein	ctl_exponential:21%; human_sputum:11%	0.6179	0.00857437414965582	36.69	8	34	83	14	77	759.69	476.62
vapB29	Rv0616A	antitoxin VapB29	ctl_stationary:11%	0.5083	0.00779334117187306	28.04	19	28	24	25	48	158.94	107.18
Rv0893c	Rv0893c	S-adenosylmethionine-dependent methyltransferase	hypoxia_late:16%	0.4546	0.0022117383403056	26.71	23	48	27	17	23	85.65	60.25
whiB1	Rv3219	transcriptional regulator WhiB1	zinc_limitation:14%; hypoxia_rar:10%	0.4885	0.00253742221822944	38.1	18	55	116	22	14	6730.59	4648.79
Rv0406c	Rv0406c	beta lactamase-like protein	hypoxia_late:18%	0.4471	0.00211481946436999	27.09	29	44	20	18	28	91.74	64.86
Rv1504c	Rv1504c	conserved hypothetical protein	hypoxia_late:16%	0.489	0.00659460569465719	29.9	28	39	17	24	46	62.91	42.87
Rv2779c	Rv2779c	Lrp/AsnC family transcriptional regulator	ctl_stationary:11%; hypoxia_late:11%; INDIGO_exponential:11%	0.4555	0.00391212891037671	28.53	26	41	26	19	33	113.71	79.88
Rv2959c	Rv2959c	rhamnosyl O-methyltransferase	hypoxia_rar:17%; hypoxia_late:10%	0.454	0.00371238341467005	34	22	52	59	20	26	136.52	96.16
fadE5	Rv0244c	acyl-CoA dehydrogenase FadE5	low_iron:23%	0.4191	0.000220224090075222	30.7	31	61	33	21	16	193.22	140.15
Rv0909	Rv0909	antitoxin	human_sputum:14%	0.4749	0.0054138492019049	41.27	20	56	104	29	21	732.99	510.25
PPE21	Rv1548c	PPE family protein PPE21	hypoxia_late:20%; human_sputum:12%	0.431	0.00480180276038067	37.59	41	60	29	23	40	27.4	19.36
fadD30	Rv0404	long-chain-fatty-acid--AMP ligase FadD30	hypoxia_late:13%	0.4083	0.000543424933334362	37.75	40	68	42	27	20	119.97	87.48
Rv2277c	Rv2277c	glycerolphosphodiesterase	hypoxia_late:22%; human_sputum:15%	0.5263	0.0204804281494846	42.41	35	36	18	41	100	18.96	12.14
rpfA	Rv0867c	resuscitation-promoting factor RpfA	tyloxopol:14%; human_sputum:12%	0.4018	0.000252486385861721	39.07	38	70	47	33	17	546.16	401.47
pitB	Rv2281	phosphate permease	hypoxia_late:15%; ctl_stationary:12%	0.4344	0.00582368676694279	39.5	33	62	45	26	36	38.94	27.57
vapC15	Rv2010	ribonuclease VapC15	INDIGO_exponential:13%; hypoxia_fatty_acids:12%	0.4343	0.0044094234475693	52.42	30	81	115	36	25	499.57	357.85
Rv1929c	Rv1929c	hypothetical protein	ctl_stationary:10%	0.4306	0.00600623057782823	41.63	36	59	48	31	37	111.34	79.65
MT0031	MT0031	hypothetical protein	human_sputum:10%	0.6846	0.0331345169470098	46.67	59	11	9	57	159	60.16	33.87
Rv1115	Rv1115	hypothetical protein	hypoxia_late:23%; ctl_stationary:10%	0.4868	0.0169598235031308	47.22	32	57	39	39	75	41.29	28.03
MTS2255	MTS2255	small intergenic RNA	human_sputum:17%; hypoxia_rar:12%; zinc_limitation:12%	0.4018	0.00103457663914444	44.97	47	91	41	34	24	796	585.74
Rv3524	Rv3524	membrane protein	zinc_limitation:16%	0.447	0.00538951024164681	56.78	24	94	164	35	19	590.29	419.11
Rv0430	Rv0430	hypothetical protein	ctl_exponential:19%	0.4456	0.00599885809839153	55.51	25	83	153	37	22	910.33	646.86
MTS0900	MTS0900	small intergenic RNA	butyrate:33%; acidic_tyloxopol:15%; butyrate_plus_glucose:12%	0.3971	0.000896630145378739	44.28	48	84	40	32	27	823.27	607.54
moaC3	Rv3324c	cyclic pyranopterin monophosphate synthase accessory protein	hypoxia_late:21%; human_sputum:14%; ctl_stationary:10%	0.5573	0.031209892103665	48.55	37	25	30	53	121	26.99	16.96
Rv1572c	Rv1572c	conserved hypothetical protein	hypoxia_late:27%	0.6376	0.0361997848339538	52.23	68	16	10	64	162	92.07	54.65
vapC4	Rv0595c	ribonuclease VapC4	PBS_RIF_DDmtb:13%; hypoxia_late:13%; ctl_stationary:10%	0.697	0.0402297010854717	53.06	80	12	7	65	177	17.84	9.43
Rv0366c	Rv0366c	hypothetical protein	hypoxia_late:23%; PBS_RIF_DDmtb:15%	0.555	0.0371061348793291	55.46	43	23	46	62	126	23.61	14.76
mraZ	Rv2166c	transcriptional regulator MraZ	hypoxia_hypoxic:14%	0.3826	0.00101095354170271	52.78	56	103	51	38	29	749.93	558.76
Rv0961	Rv0961	integral membrane protein	INDIGO_exponential:11%	0.4052	0.00913438166841655	55.13	62	69	35	46	68	164.44	119.92
vapB48	Rv3697A	antitoxin VapB48	human_sputum:8%	0.4333	0.013405613049916	58.58	34	74	94	48	52	294.59	210.42
PPE59	Rv3429	PPE family protein PPE59	human_sputum:10%	0.3822	0.00185355630145467	57.22	57	102	66	42	31	470.22	350.14
Rv2887	Rv2887	HTH-type transcriptional regulator	PBS_RIF_DDmtb:8%	0.5101	0.0219723648968861	84.44	27	129	220	52	54	111.58	74.85
Rv1766	Rv1766	hypothetical protein	ctl_stationary:12%	0.417	0.0123145761213206	59.57	49	88	55	47	63	223.25	161.8
dnaA	Rv0001	chromosomal replication initiator protein DnaA	acidic_tyloxopol:13%	0.3997	0.00461713019384682	67.78	45	121	127	45	30	147.88	108.39
Rv0892	Rv0892	monooxygenase	hypoxia_late:13%	0.3797	0.0019349042974389	57.43	63	110	56	40	32	171.22	127.66
MT1178	MT1178	hypothetical protein	butyrate:32%; acidic_tyloxopol:15%; butyrate_plus_glucose:12%	0.3908	0.0048462560432146	60.28	60	99	68	44	39	820	606.68
whiB6	Rv3862c	transcriptional regulator WhiB6	hypoxia_fatty_acids:39%; zinc_limitation:24%	0.5898	0.0518890588145988	62.41	70	20	19	77	183	29.09	17.6
Rv1501	Rv1501	hypothetical protein	human_sputum:11%	0.4197	0.0114447798009882	72.87	42	116	141	49	43	119.53	86.13
MT1627	MT1627	hypothetical protein	tyloxopol:10%	0.4131	0.0112098138147075	68.73	44	98	131	50	41	1060.59	770.48
plcB	Rv2350c	membrane-associated phospholipase B	tyloxopol:12%; high_iron:10%	0.3807	0.00352726245132	62.64	69	117	65	43	34	104.54	77.73
MT0915.1	MT0915.1	hypothetical protein	hypoxia_late:32%	0.6086	0.0646831726977594	70.86	71	24	44	82	171	24.01	14.13
Rv0891c	Rv0891c	hypothetical protein	hypoxia_late:16%	0.4228	0.021033857921993	73.74	55	109	78	55	78	53.11	38.02
lprQ	Rv0483	lipoprotein LprQ	zinc_limitation:14%; hypoxia_rar:11%	0.3712	0.00469886850391288	81.29	65	135	144	56	35	1093.83	820.78
Rv1356c	Rv1356c	hypothetical protein	hypoxia_late:16%; human_sputum:16%; hypoxia_hypoxic:12%	0.4423	0.0269969731784219	87.78	39	112	182	61	76	58.53	41.16
