GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	EV_ATC_RIF	EV_ATC_noDrug
Rv1949c	Rv1949c	conserved hypothetical protein	hypoxia_late:26%; ctl_stationary:14%	0.7165	0.00192701499207372	4.01	2	9	6	2	3	21.73	12.35
mpt70	Rv2875	major secreted immunogenic protein Mpt70	PBS_RIF_DDmtb:79%	0.6576	0.00133262871984382	4.25	3	14	8	1	1	54.64	33.72
uspB	Rv2317	sugar ABC transporter permease UspB	hypoxia_late:37%; ctl_stationary:16%; PBS_RIF_DDmtb:11%	0.9968	0.015846019978743	9.66	1	11	24	6	15	9.74	3.61
Rv2023A	Rv2023A	hypothetical protein	human_sputum:31%; hypoxia_late:17%	0.5601	0.00945705669447261	10.64	5	19	18	3	14	58.54	38.78
Rv0961	Rv0961	integral membrane protein	INDIGO_exponential:11%	0.4868	0.0045034175092718	12.14	8	30	20	4	7	164.44	115.99
Rv3378c	Rv3378c	diterpene synthase	hypoxia_late:19%	0.4894	0.00602753505053692	13.55	6	31	35	5	5	75.7	53
MT0717.1	MT0717.1	hypothetical protein	ctl_stationary:21%	0.5185	0.0177603672987967	18.98	12	25	30	7	27	100	68.48
Rv1890c	Rv1890c	hypothetical protein	PBS_RIF_DDmtb:17%; ctl_stationary:15%; hypoxia_late:13%	0.5222	0.0171057954419777	20.8	18	23	14	12	43	33.86	22.68
MT2330.1	MT2330.1	hypothetical protein	hypoxia_late:16%; hypoxia_hypoxic:10%; ctl_stationary:10%	0.7768	0.0352232859206369	24.01	4	16	62	23	34	57.57	30.97
iniA	Rv0342	isoniazid inductible protein IniA	hypoxia_rar:22%	0.4375	0.000304084783706695	15.59	10	46	23	9	4	195.95	143.09
cydC	Rv1620c	cytochrome biosyntheisis ABC transporter ATP-binding protein/permease CydC	hypoxia_late:25%	0.454	0.0036716973973393	22.03	9	58	66	11	2	152.12	109.64
Rv0909	Rv0909	antitoxin	human_sputum:14%	0.4513	0.00597659302666396	22.32	11	51	57	10	6	732.99	530.75
Rv1358	Rv1358	transcriptional regulator	hypoxia_late:29%; ctl_stationary:13%; human_sputum:12%; PBS_RIF_DDmtb:10%	0.4363	0.00923717122735001	21.81	23	52	27	8	11	12.7	8.95
furA	Rv1909c	ferric uptake regulation protein FurA	zinc_limitation:14%; human_sputum:13%; hypoxia_fatty_acids:11%	0.4599	0.01569023329683	25.08	16	43	44	13	18	102.78	73.38
Rv2694c	Rv2694c	hypothetical protein	hypoxia_fatty_acids:27%; ctl_stationary:18%	0.4186	0.0029427122109394	22.27	19	48	31	14	9	381.78	282.54
MT3204	MT3204	hypothetical protein	hypoxia_late:11%	0.4543	0.0122800440847037	27.16	31	33	12	16	53	119.86	85.82
Rv3830c	Rv3830c	TetR family transcriptional regulator	butyrate_plus_glucose:41%; butyrate:11%	0.5691	0.0355475602404339	29.45	20	22	25	26	62	21.78	13.78
MTS2255	MTS2255	small intergenic RNA	human_sputum:17%; hypoxia_rar:12%; zinc_limitation:12%	0.4133	0.00164119144193976	24.47	21	65	29	15	8	796	592.92
Rv2269c	Rv2269c	hypothetical protein	hypoxia_late:22%; ctl_stationary:10%	0.695	0.0610738112771931	43.36	7	36	108	41	56	34.83	19.88
lprM	Rv1970	Mce family lipoprotein LprM	hypoxia_late:31%; ctl_stationary:12%	0.5379	0.0497806590318879	37.78	17	28	63	27	67	13.79	8.78
Rv3594	Rv3594	hypothetical protein	PBS_RIF_DDmtb:12%; hypoxia_late:11%	0.4044	0.00845532921731791	28.44	29	54	37	18	13	109.7	81.67
Rv1503c	Rv1503c	conserved hypothetical protein	hypoxia_late:17%; ctl_stationary:13%	0.5574	0.045843610203476	47.23	14	72	99	30	45	32.76	21.6
Rv2307B	Rv2307B	hypothetical protein	hypoxia_late:19%	0.6102	0.0770269471878032	43.56	27	27	43	36	101	22.82	13.74
