GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	Rv1473A_ATC_noDrug	Rv1473A_DMSO_noDrug
Rv1473A	Rv1473A	transcriptional regulator	PBS_RIF_DDmtb:10%	3.7025	2.22168415529778e-85	1	1	1	1	1	1	2036.15	155.83
Rv0841	Rv0841	transmembrane protein	nutrient_limitation:24%; PBS_RIF_DDmtb:14%; ctl_stationary:12%	0.7518	0.00660521313513476	5.45	5	3	4	5	12	56.08	32.84
PPE3	Rv0280	PPE family protein PPE3	human_sputum:38%; zinc_limitation:15%; microaerophilic:15%	0.5882	1.24273753006383e-05	3.98	8	4	2	4	3	200.64	134.07
PPE35	Rv1918c	PPE family protein PPE35	hypoxia_late:20%	0.5448	1.5271450869449e-06	5.01	10	5	3	7	2	90.35	62.05
vapC10	Rv1397c	ribonuclease VapC10	nutrient_limitation:22%; acidic_tyloxopol:11%; butyrate:10%	0.6141	0.00634975937055841	9.08	6	8	7	6	22	1566.75	1031.43
groES	Rv3418c	chaperonin GroES	acidic_tyloxopol:12%; hypoxia_fatty_acids:12%	1.0051	0.00908192780486412	14.67	2	2	10	2	138	3714.31	1867.7
vapB10	Rv1398c	antitoxin VapB10	nutrient_limitation:21%; cholesterol:15%	0.5295	5.0285557974926e-06	6.93	11	6	5	10	4	7562.8	5281
groEL2	Rv0440	molecular chaperone GroEL	acidic_tyloxopol:13%; hypoxia_fatty_acids:11%	1.0002	0.0109427010302155	20.42	3	7	15	3	159	2588.14	1305.91
pntAa	Rv0155	NAD(P) transhydrogenase subunit alpha PntAa	hypoxia_late:17%; tyloxopol:12%	0.4818	7.28463224816778e-05	9.92	13	10	9	14	5	200.6	144.46
pntAb	Rv0156	NAD(P) transhydrogenase subunit alpha PntAb	tyloxopol:12%; ctl_exponential:12%	0.4817	0.000220828157696601	9.7	15	9	6	13	7	311.85	224.61
dnaK	Rv0350	chaperone protein DnaK	hypoxia_fatty_acids:23%; microaerophilic:15%	0.6682	0.018467031262963	21.76	4	14	19	8	108	938.24	595.01
hsp	Rv0251c	heat shock protein	hypoxia_fatty_acids:57%; ctl_stationary:11%	0.4984	0.00193136359880131	11.24	14	11	8	15	9	128.24	91.06
pntB	Rv0157	NAD(P) transhydrogenase subunit beta PntB	tyloxopol:10%	0.4521	2.46280750177967e-05	12.58	19	12	12	16	6	459.87	338.51
Rv0315	Rv0315	beta-1,3-glucanase	tyloxopol:12%	0.453	0.000448550334351345	13.75	18	13	14	17	8	493.54	363.15
Rv1434	Rv1434	hypothetical protein	cholesterol:15%; high_iron:11%	0.4166	0.000760268715297841	15.86	24	16	13	18	10	731.3	551.52
groEL1	Rv3417c	chaperonin GroEL	microaerophilic:22%; hypoxia_fatty_acids:13%	0.7142	0.028668551983698	41.92	7	28	43	11	212	487.82	299.57
grpE	Rv0351	stress response protein GrpE	hypoxia_fatty_acids:17%; microaerophilic:16%	0.6244	0.0295130124089022	36.83	9	23	37	12	169	1036.05	677.4
PE_PGRS25	Rv1396c	PE-PGRS family protein PE_PGRS25	nutrient_limitation:12%; ctl_stationary:11%	0.4741	0.0118170110921562	21.76	16	31	32	19	14	563.5	408.38
fas	Rv2524c	fatty acid synthase	microaerophilic:16%; acidic:14%	0.4069	0.0043461626315124	20.41	25	21	22	25	11	919.79	698.93
MT2045	MT2045	hypothetical protein	human_sputum:12%; PBS_RIF_DDmtb:11%	0.5223	0.0359526714341101	26.66	20	18	23	22	58	52.84	36.51
vapB15	Rv2009	antitoxin VapB15	INDIGO_exponential:16%; tyloxopol:13%	0.4253	0.0112898430770966	25.16	23	33	33	23	16	797.13	597.99
Rv0842	Rv0842	integral membrane protein	acidic_tyloxopol:16%; nutrient_limitation:11%	0.4434	0.0202676663330149	29.43	22	39	45	24	21	78.02	57.51
MT0512	MT0512	hypothetical protein	hypoxia_late:40%	0.3943	0.0205075739096023	24.56	29	20	18	29	28	32.82	24.83
celA1	Rv0062	cellulase CelA	hypoxia_late:16%; hypoxia_rar:12%; tyloxopol:12%	0.3806	0.0100301204362972	29.04	26	36	41	31	15	141.17	109.09
hupB	Rv2986c	DNA-binding protein HU	hypoxia_hypoxic:12%; hypoxia_rar:11%	0.3457	0.000167105466914791	27.2	35	32	24	36	13	5120.56	4061.24
gluT	Rvnt11	tRNA-Glu	zinc_limitation:33%; human_sputum:17%	0.3754	0.0232860988522088	28.95	34	22	20	33	38	245.53	190.13
mymT	Rv0186A	metallothionein	hypoxia_fatty_acids:39%; microaerophilic:25%	0.3606	0.00885119165155667	30.28	31	38	36	32	17	1135.02	890.58
MT3615.4	MT3615.4	hypothetical protein	hypoxia_fatty_acids:39%	0.476	0.0627502233961524	33.16	27	17	16	34	93	38.3	27.02
Rv2226	Rv2226	hypothetical protein	hypoxia_late:12%; human_sputum:11%	0.3433	0.00796450647846342	33.19	39	41	34	37	18	81.43	64.41
B11	MTS2822	small intergenic RNA	butyrate:12%; acidic_tyloxopol:12%; nutrient_limitation:11%; butyrate_plus_glucose:10%	0.3569	0.0240799221991808	35.51	37	40	38	40	24	575.67	452.66
PE_PGRS56	Rv3512	PE-PGRS family protein PE_PGRS56	hypoxia_late:47%	0.5088	0.0542945664970078	55.95	12	43	55	27	218	46.55	32.57
dnaJ1	Rv0352	chaperone protein DnaJ	microaerophilic:16%; hypoxia_fatty_acids:13%	0.4492	0.0483405967580011	49.74	21	47	53	26	131	770.1	568.28
Rv1435c	Rv1435c	hypothetical protein	cholesterol:16%; ctl_exponential:12%	0.309	0.0028813417009838	40.18	47	48	42	50	19	1378.49	1121.39
vapB17	Rv2526	antitoxin VapB17	hypoxia_late:23%; human_sputum:13%; ctl_stationary:11%	0.3534	0.0343592438926375	41.63	40	49	50	42	29	257.39	202.79
mutT1	Rv2985	8-oxo-dGTP diphosphatase	high_iron:11%; tyloxopol:11%	0.3092	0.00514181795943748	41.14	46	52	40	53	20	831.83	676.2
metT	Rvnt07	tRNA-Met	human_sputum:22%; ctl_exponential:14%	0.3607	0.0413966087850797	42.63	38	45	48	48	35	319.78	250.59
rpsF	Rv0053	30S ribosomal protein S6	hypoxia_rar:12%; hypoxia_hypoxic:11%	0.3707	0.0388238089640449	47.19	33	65	73	38	34	362.38	282.5
acpA	Rv0033	acyl carrier protein AcpA	hypoxia_late:24%; ctl_stationary:11%	0.5453	0.183013446582706	55.29	55	24	25	44	175	13.92	9.12
PE_PGRS55	Rv3511	PE-PGRS family protein PE_PGRS55	hypoxia_late:44%	0.4931	0.0714538163894171	64.76	17	51	62	30	244	56.39	39.99
vapB33	Rv1241	antitoxin VapB33	human_sputum:12%; ctl_exponential:11%	0.3366	0.0283215758699264	43.35	42	46	54	52	26	230.77	184
hspR	Rv0353	heat shock protein transcriptional repressor HspR	hypoxia_fatty_acids:11%; microaerophilic:11%	0.3992	0.0450244993052057	53.6	32	80	74	41	49	460.73	351.58
Rv2034	Rv2034	ArsR family HTH-type transcriptional repressor	hypoxia_fatty_acids:46%; acidic_tyloxopol:16%	0.36	0.0489852033309955	43.01	45	29	27	43	80	50.63	39.37
Rv3660c	Rv3660c	hypothetical protein	nutrient_limitation:23%; PBS_RIF_DDmtb:20%; ctl_stationary:14%; hypoxia_late:10%	0.3497	0.0368091419511151	47.65	41	64	60	45	32	73.14	57.55
dacB2	Rv2911	penicillin-binding protein DacB2	hypoxia_fatty_acids:14%; PBS_RIF_DDmtb:11%; hypoxia_late:10%	0.3104	0.0173817810544332	44.66	49	55	51	47	25	110.41	89.53
MT1479.1	MT1479.1	hypothetical protein	ctl_exponential:17%; hypoxia_hypoxic:12%	0.3074	0.0130406281088965	43.79	54	53	39	55	23	593.18	482.75
Rv3788	Rv3788	hypothetical protein	hypoxia_late:13%	0.369	0.0584380174616443	50.77	36	56	61	46	57	85.12	66.09
fadD7	Rv0119	fatty-acid--CoA ligase FadD7	hypoxia_late:17%	0.3175	0.0299492332147879	47.51	48	58	52	51	31	43.14	34.63
Rv3659c	Rv3659c	conjugal transfer protein	hypoxia_late:28%; PBS_RIF_DDmtb:23%; ctl_stationary:13%	0.3861	0.0737352255454397	58.36	30	67	81	54	67	36.72	27.98
vapB48	Rv3697A	antitoxin VapB48	human_sputum:8%	0.3398	0.05109682837198	49.86	43	50	46	58	53	161.09	127.79
mtr	Rv2855	mycothione reductase	hypoxia_late:11%; tyloxopol:10%	0.3011	0.0207165461819627	51.41	57	62	56	60	27	103.63	84.48
Rv0575c	Rv0575c	oxidoreductase	hypoxia_late:15%; ctl_stationary:12%; hypoxia_fatty_acids:12%; cholesterol:12%	0.6675	0.119851726229548	106.12	28	143	108	28	345	25.51	15.77
Rv3013	Rv3013	hypothetical protein	hypoxia_late:25%	0.3241	0.0736010561056639	57.92	51	57	57	61	64	47.83	38.25
Rv0439c	Rv0439c	dehydrogenase/reductase	hypoxia_late:10%	0.3282	0.0685318388800907	60.26	44	70	70	69	51	60.13	48
Rv1535	Rv1535	hypothetical protein	acidic:27%; acidic_tyloxopol:25%	0.3045	0.0410045376343952	58.4	56	61	67	72	39	303.48	247.43
vapB18	Rv2545	antitoxin VapB18	hypoxia_late:33%; PBS_RIF_DDmtb:16%	0.4201	0.245012197180834	71.24	65	27	30	85	203	19.37	14.16
pth	Rv1014c	peptidyl-tRNA hydrolase	acidic_tyloxopol:11%; hypoxia_late:11%	0.3258	0.0919530603426951	67.23	50	71	91	73	55	94.93	76.15
Rv3633	Rv3633	hypothetical protein	acidic:19%; acidic_tyloxopol:16%	0.3159	0.0623847430212518	67.27	58	91	87	66	41	285.88	231.13
MT2941	MT2941	hypothetical protein	PBS_RIF_DDmtb:74%	0.6069	0.393477996459417	84.67	99	54	44	56	213	16.52	10.18
Rv1805c	Rv1805c	hypothetical protein	acidic:23%; hypoxia_fatty_acids:12%; hypoxia_hypoxic:12%; acidic_tyloxopol:10%	0.2888	0.0411581343561831	63.38	64	68	72	70	45	298.07	245.68
